"ea","path","guess_type","symbol","m2_trades","m2_report","m1_ran","m1_report","m1_pf","m1_trades","m1_net","m1_eqdd","tier","note","ea_index"
"FORTUNE888","2025-07  _all done\EA_FORTUNE888_20251231\FORTUNE888.ex5","unknown-ea","XAUUSD","0","MS5_0064_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","64"
"FORTUNE888","2025-07  _all done\EA_FORTUNE888_20251231\FORTUNE888.ex5","unknown-ea","EURUSD","0","MS5_0064_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","64"
"FORTUNE888","2025-07  _all done\EA_FORTUNE888_20251231\FORTUNE888.ex5","unknown-ea","USDJPY","0","MS5_0064_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","64"
"FORTUNE888","2025-07  _all done\EA_FORTUNE888_20251231\FORTUNE888.ex5","unknown-ea","AUDNZD","0","MS5_0064_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","64"
"Monitor FORTUNE888","2025-07  _all done\EA_FORTUNE888_20251231\Monitor FORTUNE888.ex5","unknown-ea","XAUUSD","0","MS5_0065_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","65"
"Monitor FORTUNE888","2025-07  _all done\EA_FORTUNE888_20251231\Monitor FORTUNE888.ex5","unknown-ea","EURUSD","0","MS5_0065_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","65"
"Monitor FORTUNE888","2025-07  _all done\EA_FORTUNE888_20251231\Monitor FORTUNE888.ex5","unknown-ea","USDJPY","0","MS5_0065_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","65"
"Monitor FORTUNE888","2025-07  _all done\EA_FORTUNE888_20251231\Monitor FORTUNE888.ex5","unknown-ea","AUDNZD","0","MS5_0065_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","65"
"EX - 127 2025","2025-07  _all done\EX - 127 2025.ex5","unknown-ea","XAUUSD","0","MS5_0066_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","66"
"EX - 127 2025","2025-07  _all done\EX - 127 2025.ex5","unknown-ea","EURUSD","0","MS5_0066_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","66"
"EX - 127 2025","2025-07  _all done\EX - 127 2025.ex5","unknown-ea","USDJPY","0","MS5_0066_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","66"
"EX - 127 2025","2025-07  _all done\EX - 127 2025.ex5","unknown-ea","AUDNZD","0","MS5_0066_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","66"
"EX39.PU-test","2025-07  _all done\EX39.PU-test.ex5","unknown-ea","XAUUSD","14","MS5_0067_M2_XAUUSD.htm","True","MS5_0067_M1_XAUUSD.htm","3.46","130","500.82","9.96","Tier A","","67"
"EX39.PU-test","2025-07  _all done\EX39.PU-test.ex5","unknown-ea","EURUSD","13","MS5_0067_M2_EURUSD.htm","True","MS5_0067_M1_EURUSD.htm","2.75","69","160.91","0.93","Tier A","","67"
"EX39.PU-test","2025-07  _all done\EX39.PU-test.ex5","unknown-ea","USDJPY","15","MS5_0067_M2_USDJPY.htm","True","MS5_0067_M1_USDJPY.htm","0.96","77","-9.45","1.83","Reject","","67"
"EX39.PU-test","2025-07  _all done\EX39.PU-test.ex5","unknown-ea","AUDNZD","7","MS5_0067_M2_AUDNZD.htm","False","",,,,,"","m2-trades-below-10","67"
"GridSXR AI BBQTH V2.5c (EXP30062025)","2025-07  _all done\GridSXR AI BBQTH V2.5c (EXP30062025).ex5","grid-recovery","XAUUSD","0","MS5_0068_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","68"
"GridSXR AI BBQTH V2.5c (EXP30062025)","2025-07  _all done\GridSXR AI BBQTH V2.5c (EXP30062025).ex5","grid-recovery","EURUSD","0","MS5_0068_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","68"
"GridSXR AI BBQTH V2.5c (EXP30062025)","2025-07  _all done\GridSXR AI BBQTH V2.5c (EXP30062025).ex5","grid-recovery","USDJPY","0","MS5_0068_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","68"
"GridSXR AI BBQTH V2.5c (EXP30062025)","2025-07  _all done\GridSXR AI BBQTH V2.5c (EXP30062025).ex5","grid-recovery","AUDNZD","0","MS5_0068_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","68"
"Hedging Bot V0.1","2025-07  _all done\Hedging Bot V0.1.ex5","grid-recovery","XAUUSD","0","MS5_0069_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","69"
"Hedging Bot V0.1","2025-07  _all done\Hedging Bot V0.1.ex5","grid-recovery","EURUSD","0","MS5_0069_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","69"
"Hedging Bot V0.1","2025-07  _all done\Hedging Bot V0.1.ex5","grid-recovery","USDJPY","0","MS5_0069_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","69"
"Hedging Bot V0.1","2025-07  _all done\Hedging Bot V0.1.ex5","grid-recovery","AUDNZD","0","MS5_0069_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","69"
"Hybrid_SemiAutowithV1_1exp15.7.25","2025-07  _all done\Hybrid_SemiAutowithV1_1exp15.7.25.ex5","unknown-ea","XAUUSD","0","MS5_0070_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","70"
"Hybrid_SemiAutowithV1_1exp15.7.25","2025-07  _all done\Hybrid_SemiAutowithV1_1exp15.7.25.ex5","unknown-ea","EURUSD","0","MS5_0070_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","70"
"Hybrid_SemiAutowithV1_1exp15.7.25","2025-07  _all done\Hybrid_SemiAutowithV1_1exp15.7.25.ex5","unknown-ea","USDJPY","0","MS5_0070_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","70"
"Hybrid_SemiAutowithV1_1exp15.7.25","2025-07  _all done\Hybrid_SemiAutowithV1_1exp15.7.25.ex5","unknown-ea","AUDNZD","0","MS5_0070_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","70"
"Hybrid_SemiAutowithV1_1exp30.7.25","2025-07  _all done\Hybrid_SemiAutowithV1_1exp30.7.25.ex5","unknown-ea","XAUUSD","0","MS5_0071_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","71"
"Hybrid_SemiAutowithV1_1exp30.7.25","2025-07  _all done\Hybrid_SemiAutowithV1_1exp30.7.25.ex5","unknown-ea","EURUSD","0","MS5_0071_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","71"
"Hybrid_SemiAutowithV1_1exp30.7.25","2025-07  _all done\Hybrid_SemiAutowithV1_1exp30.7.25.ex5","unknown-ea","USDJPY","0","MS5_0071_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","71"
"Hybrid_SemiAutowithV1_1exp30.7.25","2025-07  _all done\Hybrid_SemiAutowithV1_1exp30.7.25.ex5","unknown-ea","AUDNZD","0","MS5_0071_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","71"
"ME100 BOT V5 [XauH1]","2025-07  _all done\ME100 BOT V5 [XauH1](4)\ME100 BOT V5 [XauH1].ex5","unknown-ea","XAUUSD","0","","False","",,,,,"","source-missing","72"
"ME100 BOT V5 [XauH1]","2025-07  _all done\ME100 BOT V5 [XauH1](4)\ME100 BOT V5 [XauH1].ex5","unknown-ea","EURUSD","0","","False","",,,,,"","source-missing","72"
"ME100 BOT V5 [XauH1]","2025-07  _all done\ME100 BOT V5 [XauH1](4)\ME100 BOT V5 [XauH1].ex5","unknown-ea","USDJPY","0","","False","",,,,,"","source-missing","72"
"ME100 BOT V5 [XauH1]","2025-07  _all done\ME100 BOT V5 [XauH1](4)\ME100 BOT V5 [XauH1].ex5","unknown-ea","AUDNZD","0","","False","",,,,,"","source-missing","72"
"Mew_Statistic_v4a","2025-07  _all done\Mew_Statistic_v4a.ex5","unknown-ea","XAUUSD","0","MS5_0073_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","73"
"Mew_Statistic_v4a","2025-07  _all done\Mew_Statistic_v4a.ex5","unknown-ea","EURUSD","0","MS5_0073_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","73"
"Mew_Statistic_v4a","2025-07  _all done\Mew_Statistic_v4a.ex5","unknown-ea","USDJPY","0","MS5_0073_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","73"
"Mew_Statistic_v4a","2025-07  _all done\Mew_Statistic_v4a.ex5","unknown-ea","AUDNZD","0","MS5_0073_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","73"
"MinkKwanProfitInfo_v2.2_EA","2025-07  _all done\MinkKwanProfitInfo_v2.2_EA.ex5","unknown-ea","XAUUSD","0","MS5_0074_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","74"
"MinkKwanProfitInfo_v2.2_EA","2025-07  _all done\MinkKwanProfitInfo_v2.2_EA.ex5","unknown-ea","EURUSD","0","MS5_0074_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","74"
"MinkKwanProfitInfo_v2.2_EA","2025-07  _all done\MinkKwanProfitInfo_v2.2_EA.ex5","unknown-ea","USDJPY","0","MS5_0074_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","74"
"MinkKwanProfitInfo_v2.2_EA","2025-07  _all done\MinkKwanProfitInfo_v2.2_EA.ex5","unknown-ea","AUDNZD","0","MS5_0074_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","74"
"MinkKwanProfitInfo_v2.2_IN","2025-07  _all done\MinkKwanProfitInfo_v2.2_IN.ex5","unknown-ea","XAUUSD","0","MS5_0075_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","75"
"MinkKwanProfitInfo_v2.2_IN","2025-07  _all done\MinkKwanProfitInfo_v2.2_IN.ex5","unknown-ea","EURUSD","0","MS5_0075_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","75"
"MinkKwanProfitInfo_v2.2_IN","2025-07  _all done\MinkKwanProfitInfo_v2.2_IN.ex5","unknown-ea","USDJPY","0","MS5_0075_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","75"
"MinkKwanProfitInfo_v2.2_IN","2025-07  _all done\MinkKwanProfitInfo_v2.2_IN.ex5","unknown-ea","AUDNZD","0","MS5_0075_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","75"
"Monitor FORTUNE888 FIX","2025-07  _all done\Monitor FORTUNE888 FIX.ex5","unknown-ea","XAUUSD","0","MS5_0076_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","76"
"Monitor FORTUNE888 FIX","2025-07  _all done\Monitor FORTUNE888 FIX.ex5","unknown-ea","EURUSD","0","MS5_0076_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","76"
"Monitor FORTUNE888 FIX","2025-07  _all done\Monitor FORTUNE888 FIX.ex5","unknown-ea","USDJPY","0","MS5_0076_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","76"
"Monitor FORTUNE888 FIX","2025-07  _all done\Monitor FORTUNE888 FIX.ex5","unknown-ea","AUDNZD","0","MS5_0076_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","76"
"MoonKnight AI Grid Assistance V6","2025-07  _all done\MoonKnight AI Grid Assistance V6.ex5","grid-recovery","XAUUSD","0","MS5_0077_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","77"
"MoonKnight AI Grid Assistance V6","2025-07  _all done\MoonKnight AI Grid Assistance V6.ex5","grid-recovery","EURUSD","0","MS5_0077_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","77"
"MoonKnight AI Grid Assistance V6","2025-07  _all done\MoonKnight AI Grid Assistance V6.ex5","grid-recovery","USDJPY","0","MS5_0077_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","77"
"MoonKnight AI Grid Assistance V6","2025-07  _all done\MoonKnight AI Grid Assistance V6.ex5","grid-recovery","AUDNZD","0","MS5_0077_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","77"
"MoonKnight AI Grid Assistance","2025-07  _all done\MoonKnight AI Grid Assistance.ex5","grid-recovery","XAUUSD","0","MS5_0078_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","78"
"MoonKnight AI Grid Assistance","2025-07  _all done\MoonKnight AI Grid Assistance.ex5","grid-recovery","EURUSD","0","MS5_0078_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","78"
"MoonKnight AI Grid Assistance","2025-07  _all done\MoonKnight AI Grid Assistance.ex5","grid-recovery","USDJPY","0","MS5_0078_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","78"
"MoonKnight AI Grid Assistance","2025-07  _all done\MoonKnight AI Grid Assistance.ex5","grid-recovery","AUDNZD","0","MS5_0078_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","78"
"profit max (+TMA)","2025-07  _all done\profit max (+TMA).ex5","unknown-ea","XAUUSD","0","MS5_0079_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","79"
"profit max (+TMA)","2025-07  _all done\profit max (+TMA).ex5","unknown-ea","EURUSD","0","MS5_0079_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","79"
"profit max (+TMA)","2025-07  _all done\profit max (+TMA).ex5","unknown-ea","USDJPY","0","MS5_0079_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","79"
"profit max (+TMA)","2025-07  _all done\profit max (+TMA).ex5","unknown-ea","AUDNZD","0","MS5_0079_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","79"
"REBATE FINDER BOT","2025-07  _all done\REBATE FINDER BOT.ex5","unknown-ea","XAUUSD","0","MS5_0080_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","80"
"REBATE FINDER BOT","2025-07  _all done\REBATE FINDER BOT.ex5","unknown-ea","EURUSD","0","MS5_0080_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","80"
"REBATE FINDER BOT","2025-07  _all done\REBATE FINDER BOT.ex5","unknown-ea","USDJPY","0","MS5_0080_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","80"
"REBATE FINDER BOT","2025-07  _all done\REBATE FINDER BOT.ex5","unknown-ea","AUDNZD","0","MS5_0080_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","80"
"SEMI HFT EA MT5 FIX","2025-07  _all done\semi hft preset mt5\SEMI HFT EA MT5 FIX.ex5","unknown-ea","XAUUSD","0","MS5_0081_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","81"
"SEMI HFT EA MT5 FIX","2025-07  _all done\semi hft preset mt5\SEMI HFT EA MT5 FIX.ex5","unknown-ea","EURUSD","0","MS5_0081_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","81"
"SEMI HFT EA MT5 FIX","2025-07  _all done\semi hft preset mt5\SEMI HFT EA MT5 FIX.ex5","unknown-ea","USDJPY","0","MS5_0081_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","81"
"SEMI HFT EA MT5 FIX","2025-07  _all done\semi hft preset mt5\SEMI HFT EA MT5 FIX.ex5","unknown-ea","AUDNZD","0","MS5_0081_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","81"
"super trend averages (arrows + alerts)","2025-07  _all done\super trend averages (arrows + alerts).ex5","trend","XAUUSD","0","MS5_0082_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","82"
"super trend averages (arrows + alerts)","2025-07  _all done\super trend averages (arrows + alerts).ex5","trend","EURUSD","0","MS5_0082_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","82"
"super trend averages (arrows + alerts)","2025-07  _all done\super trend averages (arrows + alerts).ex5","trend","USDJPY","0","MS5_0082_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","82"
"super trend averages (arrows + alerts)","2025-07  _all done\super trend averages (arrows + alerts).ex5","trend","AUDNZD","0","MS5_0082_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","82"
"Supertrend atr avgs (alerts)","2025-07  _all done\Supertrend atr avgs (alerts).ex5","trend","XAUUSD","0","MS5_0083_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","83"
"Supertrend atr avgs (alerts)","2025-07  _all done\Supertrend atr avgs (alerts).ex5","trend","EURUSD","0","MS5_0083_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","83"
"Supertrend atr avgs (alerts)","2025-07  _all done\Supertrend atr avgs (alerts).ex5","trend","USDJPY","0","MS5_0083_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","83"
"Supertrend atr avgs (alerts)","2025-07  _all done\Supertrend atr avgs (alerts).ex5","trend","AUDNZD","0","MS5_0083_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","83"
"(OH)  Fibo Harmonic Pattern V03_01","2025-08\(OH)  Fibo Harmonic Pattern V03_01.ex5","unknown-ea","XAUUSD","0","","False","",,,,,"","m2-no-report","84"
"(OH)  Fibo Harmonic Pattern V03_01","2025-08\(OH)  Fibo Harmonic Pattern V03_01.ex5","unknown-ea","EURUSD","0","","False","",,,,,"","m2-no-report","84"
"(OH)  Fibo Harmonic Pattern V03_01","2025-08\(OH)  Fibo Harmonic Pattern V03_01.ex5","unknown-ea","USDJPY","0","","False","",,,,,"","m2-no-report","84"
"(OH)  Fibo Harmonic Pattern V03_01","2025-08\(OH)  Fibo Harmonic Pattern V03_01.ex5","unknown-ea","AUDNZD","0","","False","",,,,,"","m2-no-report","84"
"[189] - MGS[FastClose]","2025-08\[189] - MGS[FastClose].ex5","unknown-ea","XAUUSD","0","","False","",,,,,"","source-missing","85"
"[189] - MGS[FastClose]","2025-08\[189] - MGS[FastClose].ex5","unknown-ea","EURUSD","0","","False","",,,,,"","source-missing","85"
"[189] - MGS[FastClose]","2025-08\[189] - MGS[FastClose].ex5","unknown-ea","USDJPY","0","","False","",,,,,"","source-missing","85"
"[189] - MGS[FastClose]","2025-08\[189] - MGS[FastClose].ex5","unknown-ea","AUDNZD","0","","False","",,,,,"","source-missing","85"
"AAA#IRSI SUMPIP LOT MARTINGLESEQUENCE","2025-08\AAA#IRSI SUMPIP LOT MARTINGLESEQUENCE.ex5","unknown-ea","XAUUSD","4","MS5_0086_M2_XAUUSD.htm","False","",,,,,"","m2-trades-below-10","86"
"AAA#IRSI SUMPIP LOT MARTINGLESEQUENCE","2025-08\AAA#IRSI SUMPIP LOT MARTINGLESEQUENCE.ex5","unknown-ea","EURUSD","0","","False","",,,,,"","m2-no-report","86"
"AAA#IRSI SUMPIP LOT MARTINGLESEQUENCE","2025-08\AAA#IRSI SUMPIP LOT MARTINGLESEQUENCE.ex5","unknown-ea","USDJPY","72","MS5_0086_M2_USDJPY.htm","True","MS5_0086_M1_USDJPY.htm","0.25","4064","-2726.82","38.82","Reject","","86"
"AAA#IRSI SUMPIP LOT MARTINGLESEQUENCE","2025-08\AAA#IRSI SUMPIP LOT MARTINGLESEQUENCE.ex5","unknown-ea","AUDNZD","211","MS5_0086_M2_AUDNZD.htm","True","MS5_0086_M1_AUDNZD.htm","1.13","33212","326.15","30.12","Tier A","","86"
"EX52 - )XAUUSD Mua  Mua   v1[Lock]","2025-08\EX52 - )XAUUSD Mua  Mua   v1[Lock].ex5","unknown-ea","XAUUSD","0","","False","",,,,,"","source-missing","87"
"EX52 - )XAUUSD Mua  Mua   v1[Lock]","2025-08\EX52 - )XAUUSD Mua  Mua   v1[Lock].ex5","unknown-ea","EURUSD","0","","False","",,,,,"","source-missing","87"
"EX52 - )XAUUSD Mua  Mua   v1[Lock]","2025-08\EX52 - )XAUUSD Mua  Mua   v1[Lock].ex5","unknown-ea","USDJPY","0","","False","",,,,,"","source-missing","87"
"EX52 - )XAUUSD Mua  Mua   v1[Lock]","2025-08\EX52 - )XAUUSD Mua  Mua   v1[Lock].ex5","unknown-ea","AUDNZD","0","","False","",,,,,"","source-missing","87"
"EZmoney_pro","2025-08\EZmoney_pro\EZmoney_pro.ex5","unknown-ea","XAUUSD","0","MS5_0088_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","88"
"EZmoney_pro","2025-08\EZmoney_pro\EZmoney_pro.ex5","unknown-ea","EURUSD","0","MS5_0088_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","88"
"EZmoney_pro","2025-08\EZmoney_pro\EZmoney_pro.ex5","unknown-ea","USDJPY","0","MS5_0088_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","88"
"EZmoney_pro","2025-08\EZmoney_pro\EZmoney_pro.ex5","unknown-ea","AUDNZD","0","MS5_0088_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","88"
"GapFillRSI","2025-08\GapFillRSI\GapFillRSI.ex5","unknown-ea","XAUUSD","0","MS5_0089_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","89"
"GapFillRSI","2025-08\GapFillRSI\GapFillRSI.ex5","unknown-ea","EURUSD","0","MS5_0089_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","89"
"GapFillRSI","2025-08\GapFillRSI\GapFillRSI.ex5","unknown-ea","USDJPY","0","MS5_0089_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","89"
"GapFillRSI","2025-08\GapFillRSI\GapFillRSI.ex5","unknown-ea","AUDNZD","0","MS5_0089_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","89"
"Grid Profit-2-way  RV1[LOCK]V3","2025-08\Grid Profit-2-way  RV1[LOCK]V3.ex5","grid-recovery","XAUUSD","0","","False","",,,,,"","source-missing","90"
"Grid Profit-2-way  RV1[LOCK]V3","2025-08\Grid Profit-2-way  RV1[LOCK]V3.ex5","grid-recovery","EURUSD","0","","False","",,,,,"","source-missing","90"
"Grid Profit-2-way  RV1[LOCK]V3","2025-08\Grid Profit-2-way  RV1[LOCK]V3.ex5","grid-recovery","USDJPY","0","","False","",,,,,"","source-missing","90"
"Grid Profit-2-way  RV1[LOCK]V3","2025-08\Grid Profit-2-way  RV1[LOCK]V3.ex5","grid-recovery","AUDNZD","0","","False","",,,,,"","source-missing","90"
"ProfitInfo MT5(Mark-C7) by NVF","2025-08\ProfitInfo MT5(Mark-C7) by NVF\ProfitInfo MT5(Mark-C7) by NVF.ex5","unknown-ea","XAUUSD","0","MS5_0091_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","91"
"ProfitInfo MT5(Mark-C7) by NVF","2025-08\ProfitInfo MT5(Mark-C7) by NVF\ProfitInfo MT5(Mark-C7) by NVF.ex5","unknown-ea","EURUSD","0","MS5_0091_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","91"
"ProfitInfo MT5(Mark-C7) by NVF","2025-08\ProfitInfo MT5(Mark-C7) by NVF\ProfitInfo MT5(Mark-C7) by NVF.ex5","unknown-ea","USDJPY","0","MS5_0091_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","91"
"ProfitInfo MT5(Mark-C7) by NVF","2025-08\ProfitInfo MT5(Mark-C7) by NVF\ProfitInfo MT5(Mark-C7) by NVF.ex5","unknown-ea","AUDNZD","0","MS5_0091_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","91"
"V#IRSI SUMPIP LOT MARTINGLESEQUENCE","2025-08\V#IRSI SUMPIP LOT MARTINGLESEQUENCE.ex5","unknown-ea","XAUUSD","0","","False","",,,,,"","m2-no-report","92"
"V#IRSI SUMPIP LOT MARTINGLESEQUENCE","2025-08\V#IRSI SUMPIP LOT MARTINGLESEQUENCE.ex5","unknown-ea","EURUSD","6","MS5_0092_M2_EURUSD.htm","False","",,,,,"","m2-trades-below-10","92"
"V#IRSI SUMPIP LOT MARTINGLESEQUENCE","2025-08\V#IRSI SUMPIP LOT MARTINGLESEQUENCE.ex5","unknown-ea","USDJPY","7","MS5_0092_M2_USDJPY.htm","False","",,,,,"","m2-trades-below-10","92"
"V#IRSI SUMPIP LOT MARTINGLESEQUENCE","2025-08\V#IRSI SUMPIP LOT MARTINGLESEQUENCE.ex5","unknown-ea","AUDNZD","4","MS5_0092_M2_AUDNZD.htm","False","",,,,,"","m2-trades-below-10","92"
"DAI Scalp Breakout EA V2.3 500USD","2025-11\DAI Scalp Breakout EA V2.3 500USD\DAI Scalp Breakout EA V2.3 500USD.ex5","breakout","XAUUSD","0","MS5_0093_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","93"
"DAI Scalp Breakout EA V2.3 500USD","2025-11\DAI Scalp Breakout EA V2.3 500USD\DAI Scalp Breakout EA V2.3 500USD.ex5","breakout","EURUSD","0","MS5_0093_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","93"
"DAI Scalp Breakout EA V2.3 500USD","2025-11\DAI Scalp Breakout EA V2.3 500USD\DAI Scalp Breakout EA V2.3 500USD.ex5","breakout","USDJPY","0","MS5_0093_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","93"
"DAI Scalp Breakout EA V2.3 500USD","2025-11\DAI Scalp Breakout EA V2.3 500USD\DAI Scalp Breakout EA V2.3 500USD.ex5","breakout","AUDNZD","0","MS5_0093_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","93"
"DAI Scalp Breakout EA V21.3","2025-11\DAI Scalp Breakout EA V21.3\DAI Scalp Breakout EA V21.3.ex5","breakout","XAUUSD","0","MS5_0094_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","94"
"DAI Scalp Breakout EA V21.3","2025-11\DAI Scalp Breakout EA V21.3\DAI Scalp Breakout EA V21.3.ex5","breakout","EURUSD","0","MS5_0094_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","94"
"DAI Scalp Breakout EA V21.3","2025-11\DAI Scalp Breakout EA V21.3\DAI Scalp Breakout EA V21.3.ex5","breakout","USDJPY","0","MS5_0094_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","94"
"DAI Scalp Breakout EA V21.3","2025-11\DAI Scalp Breakout EA V21.3\DAI Scalp Breakout EA V21.3.ex5","breakout","AUDNZD","0","MS5_0094_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","94"
"DAI Scalp Breakout EA V21.4","2025-11\DAI Scalp Breakout EA V21.4\DAI Scalp Breakout EA V21.4.ex5","breakout","XAUUSD","0","MS5_0095_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","95"
"DAI Scalp Breakout EA V21.4","2025-11\DAI Scalp Breakout EA V21.4\DAI Scalp Breakout EA V21.4.ex5","breakout","EURUSD","0","MS5_0095_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","95"
"DAI Scalp Breakout EA V21.4","2025-11\DAI Scalp Breakout EA V21.4\DAI Scalp Breakout EA V21.4.ex5","breakout","USDJPY","0","MS5_0095_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","95"
"DAI Scalp Breakout EA V21.4","2025-11\DAI Scalp Breakout EA V21.4\DAI Scalp Breakout EA V21.4.ex5","breakout","AUDNZD","0","MS5_0095_M2_AUDNZD.htm","False","",,,,,"","skip-all-zero-m2","95"
"DUCK_Trand","2025-11\DUCK_Trand\DUCK_Trand.ex5","unknown-ea","XAUUSD","0","MS5_0096_M2_XAUUSD.htm","False","",,,,,"","skip-all-zero-m2","96"
"DUCK_Trand","2025-11\DUCK_Trand\DUCK_Trand.ex5","unknown-ea","EURUSD","0","MS5_0096_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","96"
