name,platform,size_kb,lines,blocks,n_inputs,indicators,open_blocks,pending,close_blocks,raw_trade_calls,has_sl,has_tp,lot_escalation,flags,n_copies,path,concept
(Boss) Dynamic break RSI for SW  and Brake rev 1,mq5,372,14626,114,15,iATR;iBands;iMACD;iRSI,8,0,8,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic break RSI for SW  and Brake rev 1.mq5,reversion
(Boss) Dynamic break RSI for SW  and Brake rev 2,mq5,373,14638,114,16,iATR;iBands;iMACD;iRSI,8,0,8,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic break RSI for SW  and Brake rev 2.mq5,reversion
(Boss) Dynamic break RSI for SW  and Brake rev 3,mq5,382,15053,126,18,iATR;iBands;iMACD;iRSI,8,0,8,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic break RSI for SW  and Brake rev 3.mq5,reversion
(Boss) Dynamic break RSI for SW  and Brake rev 3.1,mq5,382,15057,126,18,iATR;iBands;iMACD;iRSI,8,0,8,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic break RSI for SW  and Brake rev 3.1.mq5,reversion
(Boss) Dynamic break RSI for SW  and Brake rev 3.2,mq5,382,15057,126,18,iATR;iBands;iMACD;iRSI,8,0,8,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic break RSI for SW  and Brake rev 3.2.mq5,reversion
(Boss) Dynamic break RSI for SW  and Brake rev 3.3,mq5,382,15057,126,18,iATR;iBands;iMACD;iRSI,8,0,8,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic break RSI for SW  and Brake rev 3.3.mq5,reversion
(Boss) Dynamic break RSI for SW  and Brake rev 3.4 hedging lot,mq5,382,15057,126,18,iATR;iBands;iMACD;iRSI,8,0,8,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic break RSI for SW  and Brake rev 3.4 hedging lot.mq5,reversion
(Boss) Dynamic RSI SW + Break,mq4,274,10643,63,12,iADX;iRSI,6,0,6,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,6,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break.mq4,trend_follow
(Boss) Dynamic RSI SW + Break rev 1,mq4,274,10641,63,12,iADX;iRSI,6,0,6,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,6,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 1.mq4,trend_follow
(Boss) Dynamic RSI SW + Break rev 2 sum profit,mq4,271,10505,59,12,iADX;iRSI,6,0,2,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,6,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 2 sum profit.mq4,trend_follow
(Boss) Dynamic RSI SW + Break rev 3 sum profit,mq4,273,10629,63,12,iADX;iRSI,6,0,2,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,6,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 3 sum profit.mq4,trend_follow
(Boss) Dynamic RSI SW + Break rev 4 near atr,mq4,279,10880,66,12,iADX;iATR;iRSI,6,0,2,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,6,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 4 near atr.mq4,trend_follow
"(Boss) Dynamic RSI SW + Break rev 5 near atr,bb trend",mq4,281,10962,66,12,iADX;iATR;iBands;iRSI,6,0,2,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,6,"D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 5 near atr,bb trend.mq4",trend_follow
"(Boss) Dynamic RSI SW + Break rev 5-2 near atr,bb trend",mq4,284,11082,70,12,iADX;iATR;iBands;iRSI,6,0,6,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,6,"D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 5-2 near atr,bb trend.mq4",trend_follow
"(Boss) Dynamic RSI SW + Break rev 5-3 near atr,bb trend macd",mq4,283,11042,67,12,iADX;iATR;iBands;iMACD;iRSI,6,0,2,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,6,"D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 5-3 near atr,bb trend macd.mq4",trend_follow
"(Boss) Dynamic RSI SW + Break rev 5-4 near atr,bb trend macd",mq4,270,10513,53,11,iATR;iBands;iMACD;iRSI,4,0,2,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,"D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 5-4 near atr,bb trend macd.mq4",reversion
"(Boss) Dynamic RSI SW + Break rev 5-41 near atr,bb trend macd",mq4,286,11153,69,13,iATR;iBands;iMACD;iRSI,6,0,2,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,"D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 5-41 near atr,bb trend macd.mq4",reversion
(Boss) Dynamic RSI SW + Break rev 5.5 cd bb + macd,mq4,289,11265,72,16,iATR;iBands;iMACD;iRSI,6,0,3,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 5.5 cd bb + macd.mq4,reversion
(Boss) Dynamic RSI SW + Break rev 5.6  bb + macd,mq4,303,11887,75,16,iATR;iBands;iMACD;iRSI,6,0,3,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 5.6  bb + macd.mq4,reversion
(Boss) Dynamic RSI SW + Break rev 5.71  bb + macd + trailing,mq4,312,12193,75,14,iATR;iBands;iMACD;iRSI,6,0,3,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 5.71  bb + macd + trailing.mq4,reversion
(Boss) Dynamic RSI SW + Break rev 5.72  bb + macd + trailing,mq4,312,12213,75,14,iATR;iBands;iMACD;iRSI,6,0,3,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 5.72  bb + macd + trailing.mq4,reversion
(Boss) Dynamic RSI SW + Break rev 5.73  bb + macd + trailing,mq4,302,11888,75,14,iATR;iBands;iMACD;iRSI,6,0,3,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 5.73  bb + macd + trailing.mq4,reversion
(Boss) Dynamic RSI SW + Break rev 5.74-1 bb + macd + trailing add atr,mq4,304,11914,75,14,iATR;iBands;iMACD;iRSI,6,0,3,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 5.74-1 bb + macd + trailing add atr.mq4,reversion
(Boss) Dynamic RSI SW + Break rev 5.74-2 bb + macd + trailing add atr plus lot,mq4,307,12048,77,14,iATR;iBands;iMACD;iRSI,6,0,3,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 5.74-2 bb + macd + trailing add atr plus lot.mq4,reversion
(Boss) Dynamic RSI SW + Break rev 5.74  bb + macd + trailing,mq4,303,11893,75,14,iATR;iBands;iMACD;iRSI,6,0,3,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 5.74  bb + macd + trailing.mq4,reversion
"(Boss) Dynamic RSI SW + Break rev 5.75 bb + macd + trailing , atr plus lot",mq4,307,12044,77,14,iATR;iBands;iMACD;iRSI,6,0,3,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,"D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 5.75 bb + macd + trailing , atr plus lot.mq4",reversion
(Boss) Dynamic RSI SW + Break rev 5.75 bb + macd + trailing add atr plus lot,mq4,307,12043,77,14,iATR;iBands;iMACD;iRSI,6,0,3,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 5.75 bb + macd + trailing add atr plus lot.mq4,reversion
"(Boss) Dynamic RSI SW + Break rev 5.75= bb + macd + trailing , atr plus lot",mq4,307,12043,77,14,iATR;iBands;iMACD;iRSI,6,0,3,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,"D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 5.75= bb + macd + trailing , atr plus lot.mq4",reversion
(Boss) Dynamic RSI SW + Break rev 5.7  bb + macd + trailing,mq4,312,12193,75,14,iATR;iBands;iMACD;iRSI,6,0,3,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 5.7  bb + macd + trailing.mq4,reversion
(Boss) Dynamic RSI SW + Break rev 5.8 bb + macd + trailing add atr plus lot,mq4,307,12043,77,14,iATR;iBands;iMACD;iRSI,6,0,3,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 5.8 bb + macd + trailing add atr plus lot.mq4,reversion
(Boss) Dynamic RSI SW + Break rev 5.81 bb + macd + trailing add atr plus lot,mq4,307,12043,77,14,iATR;iBands;iMACD;iRSI,6,0,3,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 5.81 bb + macd + trailing add atr plus lot.mq4,reversion
(Boss) Dynamic RSI SW + Break rev 5.81 bb + macd +   atr plus lot,mq4,307,12043,77,14,iATR;iBands;iMACD;iRSI,6,0,3,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 5.81 bb + macd +   atr plus lot.mq4,reversion
"(Boss) Dynamic RSI SW + Break rev 5_H4 near atr,bb trend",mq4,281,10962,66,12,iADX;iATR;iBands;iRSI,6,0,2,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,6,"D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic RSI SW + Break rev 5_H4 near atr,bb trend.mq4",trend_follow
(Boss) Dynamic  break and SW RSI rev 1,mq5,462,18261,199,21,iATR;iBands;iMACD;iRSI,6,0,3,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic  break and SW RSI rev 1.mq5,session_time+reversion
(Boss) Dynamic  break and SW RSI rev 2,mq5,562,22440,292,24,iATR;iBands;iMA;iMACD;iRSI,8,0,3,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic  break and SW RSI rev 2.mq5,session_time+reversion
(Boss) Dynamic  break and SW RSI rev 2.1,mq5,562,22446,292,24,iATR;iBands;iMA;iMACD;iRSI,8,0,3,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic  break and SW RSI rev 2.1.mq5,session_time+reversion
(Boss) Dynamic  break and SW RSI rev 3,mq5,588,23518,325,24,iATR;iBands;iMACD;iRSI,8,0,5,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic  break and SW RSI rev 3.mq5,session_time+reversion
(Boss) Dynamic  break and SW RSI rev 3.1,mq5,588,23523,325,25,iATR;iBands;iMACD;iRSI,8,0,5,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic  break and SW RSI rev 3.1.mq5,session_time+reversion
(Boss) Dynamic  break and SW RSI rev 3.2,mq5,595,23815,333,26,iATR;iBands;iMACD;iRSI,8,0,5,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic  break and SW RSI rev 3.2.mq5,session_time+reversion
(Boss) Dynamic  break and SW RSI rev 3.3,mq5,595,23815,333,26,iATR;iBands;iMACD;iRSI,8,0,5,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic  break and SW RSI rev 3.3.mq5,session_time+reversion
(Boss) Dynamic  break and SW RSI rev 4,mq5,601,24082,341,26,iATR;iBands;iMACD;iRSI,8,0,5,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,5,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\(Boss) Dynamic  break and SW RSI rev 4.mq5,session_time+reversion
(Boss) Dynamic  break RSI rev 1,mq4,308,12111,79,14,iATR;iBands;iMACD;iRSI,6,0,5,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,6,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\(Boss) Dynamic  break RSI rev 1.mq4,reversion
(Boss) Dynamic  break RSI rev 1,mq5,468,15761,79,14,iATR;iBands;iMACD;iRSI,6,0,5,7,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic  break RSI rev 1.mq5,reversion
(Boss) Dynamic  break RSI rev 2,mq5,323,12750,68,14,iATR;iBands;iMACD;iRSI,4,0,6,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic  break RSI rev 2.mq5,reversion
(Boss) Dynamic  break RSI rev 2.1,mq5,323,12750,68,14,iATR;iBands;iMACD;iRSI,4,0,6,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic  break RSI rev 2.1.mq5,reversion
(Boss) Dynamic  break RSI rev 2.2,mq5,321,12682,66,14,iATR;iBands;iMACD;iRSI,4,0,4,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic  break RSI rev 2.2.mq5,reversion
(Boss) Dynamic  break RSI rev 3,mq5,322,12682,66,14,iATR;iBands;iMACD;iRSI,4,0,4,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic  break RSI rev 3.mq5,reversion
(Boss) Dynamic  break RSI rev 4,mq5,322,12684,66,14,iATR;iBands;iMACD;iRSI,4,0,4,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,5,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\(Boss) Dynamic  break RSI rev 4.mq5,reversion
(Boss) Dynamic  break RSI rev 4 fuxed bug,mq5,322,12684,66,14,iATR;iBands;iMACD;iRSI,4,0,4,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic  break RSI rev 4 fuxed bug.mq5,reversion
(Boss) Dynamic  break RSI rev 4.1 fuxed bug,mq5,442,17520,179,21,iATR;iBands;iMACD;iRSI,4,0,3,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic  break RSI rev 4.1 fuxed bug.mq5,session_time+reversion
(Boss) Dynamic  break RSI rev 4.2 fuxed bug,mq5,442,17517,179,21,iATR;iBands;iMACD;iRSI,4,0,3,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic  break RSI rev 4.2 fuxed bug.mq5,session_time+reversion
(Boss) Dynamic  break RSI rev 4.3 fuxed bug,mq5,442,17515,179,21,iATR;iBands;iMACD;iRSI,4,0,3,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,5,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\(Boss) Dynamic  break RSI rev 4.3 fuxed bug.mq5,session_time+reversion
(Boss) Gold Robot Scalping Time Bomb rev1,mq5,311,11566,43,9,,6,2,0,4,no,no,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) Gold Robot Scalping Time Bomb\(Boss) Gold Robot Scalping Time Bomb rev1.mq5,scalping
(Boss) Gold Time bomb martingale rev 1 with ATR,mq4,369,13824,90,13,iATR,17,13,2,1,unknown,no,yes,SL_UNKNOWN;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Gold Time bomb martingale rev 1.1 with ATR\(Boss) Gold Time bomb martingale rev 1 with ATR.mq4,grid_basket+dashboard_tool
(Boss) Gold Time bomb martingale rev 2 with ATR,mq4,368,13820,90,12,iATR,17,13,2,1,unknown,no,yes,SL_UNKNOWN;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Gold Time bomb martingale rev 1.1 with ATR\(Boss) Gold Time bomb martingale rev 2 with ATR.mq4,grid_basket+dashboard_tool
(Boss) Gold Time bomb martingale rev 2.1 with ATR,mq4,324,12170,54,12,iATR,10,6,2,1,unknown,no,yes,SL_UNKNOWN;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Gold Time bomb martingale rev 1.1 with ATR\(Boss) Gold Time bomb martingale rev 2.1 with ATR.mq4,grid_basket
(Boss) Gold Time bomb martingale rev 3 with ATR,mq4,338,12588,59,12,iATR,11,7,2,1,unknown,no,yes,SL_UNKNOWN;LOT_ESCALATION;NO_CAP,5,D:\Forex\01_INBOX_NEW\2.1 review EA\3. ready to use\(Boss) Gold Time bomb martingale rev 3 with ATR.mq4,grid_basket
(Boss) gold trading rev 1,mq4,236,9095,29,5,iBands;iMA,4,0,2,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,6,D:\EA_LAB\_intake_drop\(Boss) gold trading\(Boss) gold trading rev 1.mq4,reversion
(Boss) gold trading rev 2,mq4,239,9229,31,5,iBands;iMA,4,0,2,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,6,D:\EA_LAB\_intake_drop\(Boss) gold trading\(Boss) gold trading rev 2.mq4,reversion
(Boss) Grid buy only,mq4,199,7779,18,5,iAC,1,0,1,1,no,no,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) Grid dynamic buy only\(Boss) Grid buy only.mq4,grid_basket
(Boss) Grid buy only rev1,mq4,200,7779,18,5,iAC,1,0,1,1,no,no,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) Grid dynamic buy only\(Boss) Grid buy only rev1.mq4,grid_basket
(Boss) Grid buy only rev1.1 add comment,mq4,216,8368,20,5,iAC,1,0,1,1,no,no,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) Grid dynamic buy only\(Boss) Grid buy only rev1.1 add comment.mq4,grid_basket
(Boss) Grid buy only rev1.3 add comment,mq4,217,8446,21,6,iAC,1,0,1,1,no,yes,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) Grid dynamic buy only\(Boss) Grid buy only rev1.3 add comment.mq4,grid_basket
(Boss) Grid buy only rev1.31 add comment,mq4,217,8446,21,6,iAC,1,0,1,1,no,yes,no,NO_SL,5,D:\Forex\30_OPTIMIZATION\OLD_Report\00. Dpwnload\(Boss) Grid buy only rev1.31 add comment.mq4,grid_basket
"(Boss) Grid Horizontal Line Trailing by Fibo rev 4(Config lot ,TF , Hedging)",mq4,372,13901,126,14,,20,0,1,1,unknown,yes,no,SL_UNKNOWN,9,"D:\EA_LAB\_intake_drop\.Boss\(Boss) Grid Horizontal Line Trailing by Fibo rev 4(Config lot ,TF , Hedging).mq4",harmonic_fib+grid_basket
"(Boss) Grid Horizontal Line Trailing by Fibo rev 4(Config lot ,TF , Hedging)",mq5,523,17257,126,14,,20,0,1,7,unknown,yes,no,SL_UNKNOWN,9,"D:\EA_LAB\_intake_drop\.Boss\(Boss) Grid Horizontal Line Trailing by Fibo rev 4(Config lot ,TF , Hedging).mq5",harmonic_fib+grid_basket
(Boss) Grid Horizontal Line Trailing rev Fibo rev 2 (config lot),mq5,369,13989,106,9,,10,0,1,4,no,yes,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) Grid Horizontal Line Trailing Fibo\Old\(Boss) Grid Horizontal Line Trailing rev Fibo rev 2 (config lot).mq5,harmonic_fib+grid_basket
