file,kb,category,topic_hint,worth_deep_read
.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Bonus E-book\เรียนฟอเร็กซ์ตามระดับชั้น\Forex เกรด5indicators+เกรด6Osscilator(21).pdf,595,course,PDF-1.6 608 0 obj Linearized 1/L 609469/O 610/E 294686/N 21/T 608850/H [ 567 537],N
.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Bonus E-book\เรียนฟอเร็กซ์ตามระดับชั้น\Forex เกรด7รูปแบบกราฟ+เกรด8Pivot(21).pdf,503,course,PDF-1.6 527 0 obj Linearized 1/L 515113/O 529/E 264748/N 21/T 514527/H [ 621 475],N
.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Bonus E-book\เรียนฟอเร็กซ์ตามระดับชั้น\Forex เกรด9-Harmonic+EW+Divergence(52).pdf,3205,strategy-book,Divergence signal guide,Y
.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Bonus E-book\เรียนฟอเร็กซ์ตามระดับชั้น\Extra\Extra_Forex_Advance.pdf,4499,course,PDF-1.7 709 0 obj Filter/FlateDecode/First 57/Length 1647/N 7/Type/ObjStm stream Um-)Z-L endstream endobj 710 0,Y
.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Bonus E-book\เรียนฟอเร็กซ์ตามระดับชั้น\Extra\Extra_Forex_Basic.pdf,7753,course,PDF-1.7 1477 0 obj Linearized 1/L 7939620/O 1479/E 5731104/N 69/T 7938424/H [ 506 888],N
.Forexbookthai\.EA\Link Download Grid V3\E-Book Grid\Easy Profit(1).pdf,252,ea-manual,Grid V3 Thai setup manual,N
.Forexbookthai\.EA\Link Download Grid V3\E-Book Grid\Forex Hedging Strategie and Trading system(35).pdf,2439,ea-manual,Grid V3 Thai setup manual,N
.Forexbookthai\.EA\Link Download Grid V3\E-Book Grid\Grid Trading.pdf,3059,ea-manual,Grid V3 Thai setup manual,N
.Forexbookthai\.EA\Link Download Grid V3\คู่มือภาษาไทย\คู่มือการตั้งค่า.pdf,2044,ea-manual,Grid V3 Thai setup manual,N
.Forexbookthai\.EA\Link Download Grid V3\Bonus\แถมฟรีโปรแกรมบันทึกของเทรดเดอร์\AG Trading Strategies\วิธีใช้ AG Trading Strategies\แถม EMA Power\EMA Power - TH.pdf,1247,strategy-book,EMA Power trading strategy guide,Y
.Forexbookthai\.EA\Money Management Toolbox\Link download MM Toolbox\Bonus 10 Indicators\Darvas Pointer\Forex Darvas Pointer Indicator.pdf,314,strategy-book,PDF-1.5 3 0 obj Type /Page Parent 2 0 R Resources ProcSet [/PDF /Text,Y
.Forexbookthai\.EA\Money Management Toolbox\Link download MM Toolbox\Bonus 10 Indicators\Ghost Scalper Strategy\Forex Ghost Scalper Strategy_watermark.pdf,1287,strategy-book,Scalping strategy or EA guide,Y
.Forexbookthai\.Indicator\Indicator_Dynamic Profit Detector\Dynamic Profit Detector.pdf,1632,ea-manual,PDF-1.6 539 0 obj Filter/FlateDecode/First 187/Length 706/N 24/Type/ObjStm stream endstream endobj 540 0 obj,N
.Forexbookthai\.Indicator\Indicator_Fibo Golden zone\Fibonacci Golden Zone Strategy.pdf,4411,strategy-book,Fibonacci trading material,Y
.Forexbookthai\.Indicator\Indicator_Forex Layer Pro\Forex Layer Pro.pdf,1961,ea-manual,PDF-1.6 704 0 obj Filter/FlateDecode/First 245/Length 900/N 31/Type/ObjStm stream R92E-m endstream endobj 705 0,N
.Forexbookthai\.Indicator\Indicator_Mystic Level\Forex mystic Levels Cheat Sheets.pdf,282,ea-manual,PDF-1.5 1 0 obj Type/Catalog/Pages 2 0 R/Lang(ru-RU) /StructTreeRoot 26 0 R/MarkInfo Marked true,N
.Forexbookthai\.Indicator\Indicator_Mystic Level\Forex mystic Levels manual - TH.pdf,1650,ea-manual,Manual/setup guide: Forex mystic Levels manual - TH,N
.Forexbookthai\.Indicator\Indicator_Mystic Level\Forex mystic Levels manual.pdf,825,ea-manual,Manual/setup guide: Forex mystic Levels manual,N
.Forexbookthai\.Indicator\Cluster Trader System (Indicator)\Cluster Trader System (Indicator)\Important price patterns in trading.pdf,677,strategy-book,PDF-1.7 1 0 obj Type/Catalog/Pages 2 0 R/Metadata 3 0 R endobj 2 0,Y
".Forexbookthai\.Indicator\Indicator_Dolly EA set\Manual\วิธีใช้งาน_Dolly-EA,Indy.pdf",9244,ea-manual,"Manual/setup guide: วิธีใช้งาน_Dolly-EA,Indy",N
.Forexbookthai\.Indicator\ลิงก์ดาวน์โหลด universal indy ea\ลิงก์ดาวน์โหลด universal indy ea\Manual\Manual2.pdf,4028,ea-manual,Manual/setup guide: Manual2,N
.Forexbookthai\.Indicator\ลิงก์ดาวน์โหลด universal indy ea\ลิงก์ดาวน์โหลด universal indy ea\Bonus\Indicators\3-FSK The Forex Sniper Killer\The-FSK-ไทย-Manual.pdf,1226,ea-manual,Manual/setup guide: The-FSK-ไทย-Manual,N
.Forexbookthai\.Indicator\ลิงก์ดาวน์โหลด universal indy ea\ลิงก์ดาวน์โหลด universal indy ea\Bonus\Trading System\C15-Software\C15-Software\C-15 - System Manual.pdf,382,ea-manual,Manual/setup guide: C-15 - System Manual,Y
.Forexbookthai\EA\Link DL Golden PickAxe\Golden Pickaxe set-up guide.pdf,3537,ea-manual,Golden Pickaxe setup/user guide,N
.Forexbookthai\EA\Link DL Hercules\PARAMETERS GUIDE.pdf,115,ea-manual,PDF-1.6 7 0 obj Type /ExtGState BM /Normal endobj 10 0 obj Length 11,N
.Forexbookthai\EA\Link DL AI GEN XII\AI_GEN_XII_EA_v2.9_Unlimit\AI GEN XII EA - User Manual.pdf,252,ea-manual,Manual/setup guide: AI GEN XII EA - User Manual,N
.Forexbookthai\EA\Link Download 5 Signals\FSK The Forex Sniper Killer\The-FSK-User-Manual-Book.pdf,1335,ea-manual,Manual/setup guide: The-FSK-User-Manual-Book,Y
.Forexbookthai\Jan 24\Link download 4pip+aw\คู่มือการใช้งาน\IceFX-NewsInfo-User-Manual-THAI.pdf,2727,course,Manual/setup guide: IceFX-NewsInfo-User-Manual-THAI,N
.Forexbookthai\Jan 24\Link download 4pip+aw\คู่มือการใช้งาน\---คู่มือการลงอีเอ-อินดิเคเตอร์-เทมเพลตOK---\แอดไลน์ เพิ่มเพื่อน สอบถามปัญหา.pdf,154,strategy-book,PDF-1.5 4 0 obj Filter/FlateDecode/Length 124 stream endstream endobj 6 0 obj Contents 4,N
2024-03\FXOB_SD_RANGES_v6.035_Fixed\recommend.pdf,82,unknown,PDF-1.3 3 0 obj Filter /FlateDecode /Length 3247 stream B%ZN=E endstream endobj 1 0,N
2024-03\GOLD Impulse with Alert No DLL\แจก Ea.pdf,63,unknown,"PDF-1.3 3 0 obj Filter /FlateDecode /Length 1175 stream 6],0md endstream endobj 1 0",N
2024-03\EA ok\Forex Recovery\Forex Recovery Bot Guide.pdf,854,ea-manual,Forex Recovery Bot user guide,N
2024-03\FXOB_SD_RANGES_v6.035_Fixed\__MACOSX\._recommend.pdf,0,junk,Mac OS X com.apple.lastuseddate#PS com.apple.macl com.apple.quarantine q/0082;65dd99df;Microsoft x20Word;,N
2024-03\GOLD Impulse with Alert No DLL\__MACOSX\._แจก Ea.pdf,0,junk,Mac OS X com.apple.lastuseddate#PS com.apple.macl com.apple.quarantine q/0082;65fc3ce2;Microsoft x20Word;,N
2024-10\AI Price Action Robot\password.pdf,229,junk,Password/access note,N
2024-12\Atomic Analyst MT4 v40.0_1421+\Atomic Analyst MT4 v40.0_1421+\Atomic Analyst.pdf,3264,ea-manual,Atomic Analyst MT4 indicator/manual,N
2024-12\EA Black Dragon MT5 V13\EA Black Dragon MT5 V13\Useful Information for a Trader!.pdf,79,junk,PDF-1.4 1 0 obj Title (Useful Information for a Trader Producer (Skia/PDF m127 Google,N
2025-06\EABlackDragon_mt4_Sets_Manuals\BEGINNERS GUIDE FOR USING EXPERT ADVISORS OF RAMIL MINNIAKHMETOV.pdf,2063,ea-manual,Manual/setup guide: BEGINNERS GUIDE FOR USING EXPERT ADVISORS OF RAMIL MINNIAKHMETOV,N
2025-06\EABlackDragon_mt4_Sets_Manuals\Guide to trade with the trend using Black Dragon Indicator.pdf,627,strategy-book,Manual/setup guide: Guide to trade with the trend using Black Dragon Indicator,Y
2025-06\EABlackDragon_mt4_Sets_Manuals\RISK MANAGEMENT GUIDE RAMIL MINNIAKHMETOV.pdf,352,ea-manual,Manual/setup guide: RISK MANAGEMENT GUIDE RAMIL MINNIAKHMETOV,N
2025-06\EA_Black_Dragon_trade_with_trend_semi-mual_sets_m15_mt4_mt5\BEGINNERS GUIDE FOR USING EXPERT ADVISORS OF RAMIL MINNIAKHMETOV.pdf,2064,strategy-book,PDF-1.7 1 0 obj Type/Catalog/Pages 2 0 R/Lang(en) /StructTreeRoot 197 0 R/MarkInfo Marked true,N
2025-06\EA_Black_Dragon_trade_with_trend_semi-mual_sets_m15_mt4_mt5\RISK MANAGEMENT RAMIL MINNIAKHMETOV BTC.pdf,500,strategy-book,PDF-1.7 1 0 obj Type/Catalog/Pages 2 0 R/Lang(en) /StructTreeRoot 81 0 R/MarkInfo Marked true,N
2025-06\Trade Manager X v3.65\Trade Manager X (User Manual).pdf,275,ea-manual,Manual/setup guide: Trade Manager X (User Manual),N
2025-07  _all done\Deep+ Scalper EA V5 MT4\Useful Information for a Trader.pdf,19,junk,Scalping strategy or EA guide,N
2025-07  _all done\Goldex AI 1.4\Expert\Useful Information for a Trader!.pdf,115,junk,PDF-1.4 1 0 obj Title (Useful Information for a Trader Producer (Skia/PDF m133 Google,N
2026-07\DRFX GRIDONLY-20260704T025653Z-3-001\DRFX GRIDONLY\ขั้นตอน_ Allow WebRequest ใน MetaTrader 5.pdf,3872,ea-manual,MT5 WebRequest setup instructions,N
2026-07\DRFX_NEMENOVA-X-20260704T025634Z-3-001\DRFX_NEMENOVA-X\DRFX_NEMENOVA-X_Manual.pdf,63,ea-manual,Manual/setup guide: DRFX_NEMENOVA-X_Manual,N
2026-4\THAMTHAU_EA_MANAGER_DUP.ex5\__MACOSX\._คู่มือใช้งาน THAMTHAU_EA_Input_Parameters.pdf,0,junk,Mac OS X com.apple.lastuseddate#PS com.apple.metadata:kMDItemWhereFroms com.apple.quarantine bplist00 https://claude.ai/,N
Dashboard\Dashboard V3+Manual\ManualDashboard Fibo.pdf,20729,strategy-book,Fibonacci trading material,Y
Indicator and Template\100% Non Repaint Indicator V15.0 by @SoftechFX_Robot\BEST EA INVESTORS ACCOUNT DETAILS.pdf,83,junk,PDF-1.4 1 0 obj Title (BEST EA INVESTORS ACCOUNT DETAILS) Producer (Skia/PDF m112 Google,N
Indicator and Template\100% Non Repaint Indicator V15.0 by @SoftechFX_Robot\For VPS.pdf,29,junk,PDF-1.4 1 0 obj Title (For VPS) Producer (Skia/PDF m112 Google Docs Renderer) endobj,N
Indicator and Template\100% Non Repaint Indicator V15.0 by @SoftechFX_Robot\Useful Information for a Trader!.pdf,69,junk,PDF-1.4 1 0 obj Title (Useful Information for a Trader Producer (Skia/PDF m111 Google,N
Indicator and Template\Copy_lot\User Guide(Manual) for Exp - COPYLOT English.pdf,33634,ea-manual,Manual/setup guide: User Guide(Manual) for Exp - COPYLOT English,N
Indicator and Template\Ultimate_Trend_Signals-Indicator-24April2023\Ultimate Trend Signals User Guide.pdf,1292,ea-manual,PDF-1.5 1 0 obj Type/Catalog/Pages 2 0 R/Lang(ru-RU) /StructTreeRoot 72 0 R/MarkInfo Marked true,Y
Test EA ok3\Happy Gold MT5\BEST EA INVESTORS ACCOUNT DETAILS.pdf,61,junk,PDF-1.4 1 0 obj Title (BEST EA INVESTORS ACCOUNT DETAILS) Producer (Skia/PDF m109 Google,N
Test EA ok3\Happy Gold MT5\Useful Information for a Trader!.pdf,78,junk,PDF-1.4 1 0 obj Title (Useful Information for a Trader Producer (Skia/PDF m109 Google,N
Test EA ok3\IceFX.NewsInfo.v2.7.1\IceFX News - Manual.pdf,1717,course,Manual/setup guide: IceFX News - Manual,N
Test EA ok3\Order block\Order Block Forex Robot MT4 Manual.pdf,939,ea-manual,Supply-demand / order-block trading rules,Y
Test EA ok3\EA ok\Daylight 1.27\Daylight - Manual.pdf,226,course,Manual/setup guide: Daylight - Manual,N
Test EA ok3\EA ok\Daylight 1.27\__MACOSX\._Daylight - Manual.pdf,0,junk,Manual/setup guide: ._Daylight - Manual,N
Test EA ok3\Indicator and Template\พอใช้\R077_ADVANCED_RSI_ARROWS\R077 ADVANCED RSI ARROWS\How to instl...pdf,122,strategy-book,SMC / smart-money trading lesson,N
Test EA ok3\Vibrix Group EA OFFICIAL\Vibrix Group EA ORIGINAL\Manual.pdf,460,ea-manual,Manual/setup guide: Manual,N
wait for test\16 sep\gGBviv4ocDu1.pdf,2034,junk,PDF-1.3 1 0 obj Type/Catalog/Pages 2 0 R /Metadata 139 0 R endobj 2,N
wait for test\25 sep\margin-and-leverage(en).pdf,179,broker-doc,PDF-1.7 1 0 obj Type/Catalog/Pages 2 0 R/Lang(en) /StructTreeRoot 26 0 R/MarkInfo Marked true,N
wait for test\4\Instructions __ GENERAL INSTRUCTION AW Recovery EA.pdf,242,ea-manual,PDF-1.4 1 0 obj Creator (Nitro Pro 13 13.46.0.937 Producer (Nitro Pro 13 13.46.0.937,N
wait for test\0 - MQ5\Galileo FX EA\-RULES AVOID MQL5 BAN.pdf,967,junk,PDF-1.5 77 0 obj Filter/FlateDecode/First 9/Length 301/N 2/Type/ObjStm stream endstream endobj 78 0 obj,N
wait for test\0 - MQ5\Galileo FX EA\1. How to install MT4 on PC (FBS).pdf,967,ea-manual,PDF-1.7 1 0 obj Type/Catalog/Pages 2 0 R/Lang(en-US) /StructTreeRoot 124 0 R/MarkInfo Marked true,N
wait for test\0 - MQ5\Galileo FX EA\2. How to install an EA on MT4.pdf,642,ea-manual,PDF-1.7 1 0 obj Type/Catalog/Pages 2 0 R/Lang(en-US) /StructTreeRoot 150 0 R/MarkInfo Marked true,N
wait for test\0 - MQ5\Galileo FX EA\3. Very Important.pdf,331,junk,PDF-1.5 1 0 obj Type/Catalog/Pages 2 0 R/Lang(en-US) /StructTreeRoot 37 0 R/MarkInfo Marked true,N
wait for test\0 - MQ5\Galileo FX EA\4. How To Get Set File (preset) For EA (ROBOT MT4) - TFL Trader RULE.pdf,87,ea-manual,PDF-1.7 1 0 obj Type/Catalog/Pages 2 0 R/Lang(en-US) /StructTreeRoot 45 0 R/MarkInfo Marked true,N
wait for test\0 - MQ5\Galileo FX EA\How To Draw Supply Demand Level.pdf,537,strategy-book,Supply-demand / order-block trading rules,Y
wait for test\0 - MQ5\Galileo FX EA\Manual.pdf,376,ea-manual,Manual/setup guide: Manual,N
wait for test\0 - MQ5\Galileo FX EA\Notice.pdf,251,junk,PDF-1.7 1 0 obj Type/Catalog/Pages 2 0 R/Lang(en-US) /StructTreeRoot 74 0 R/MarkInfo Marked true,N
wait for test\0 - MQ5\iCafeFX_Sword Control Panel 2023 V.2.5_redhatenterprise_portableเวอร์ชั่นติดตั้งเอง\Gold Trade Ultimate Turbo By iCafeFX v1.8 Portable\Howto EA Gold Trade By iCafeFX v.1.6.4.pdf,1222,ea-manual,iCafeFX Gold Trade EA how-to guide,N
wait for test\0 - MQ5\iCafeFX_Sword Control Panel 2023 V.2.5_redhatenterprise_portableเวอร์ชั่นติดตั้งเอง\Gold Trade Ultimate Turbo By iCafeFX v1.8 Portable\HOWTO MM .pdf,1716,ea-manual,iCafeFX money-management how-to guide,N
wait for test\16 sep\New folder\FXCore100 User Guide.pdf,600,ea-manual,PDF-1.5 1 0 obj Lang(en-US)/Pages 2 0 R /Type/Catalog/msxpdf:bookmarks[] endobj 2 0 obj Count,N
wait for test\16 sep\New folder\EA-GoldStuff-V7-MT4\Manual for -EA-Gold-Stuff-Trend-Scanner.pdf,1699,strategy-book,Manual/setup guide: Manual for -EA-Gold-Stuff-Trend-Scanner,N
wait for test\16 sep\New folder\EA-GoldStuff-V7-MT4\Strukov-Manual-updated.pdf,5299,ea-manual,Manual/setup guide: Strukov-Manual-updated,N
wait for test\2- OK\Adaptive Trading EA\Adaptive Trading EA -Daily Volatility 7 English.pdf,588,strategy-book,Daily-volatility adaptive trading rules,Y
wait for test\2- OK\AI SCALPER V2.5 - RepublicTraders\AI Scalper User guide.pdf,2054,ea-manual,Scalping strategy or EA guide,N
wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\GS Bitcoin - Руководство и настройки MT4 Robot Tutorial.pdf,1195,ea-manual,"PDF-1.5 20 0 obj Type /FontDescriptor FontName /Times#20New#20Roman,Bold Flags 32 ItalicAngle 0 Ascent 891",N
wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\EXP-COPYLOT_FULL\User Guide(Manual) for Exp - COPYLOT English.pdf,3485,ea-manual,Manual/setup guide: User Guide(Manual) for Exp - COPYLOT English,N
wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Vision Scalper v9 AI - RepublicTraders\Vision Scalper Guide.pdf,192,strategy-book,Scalping strategy or EA guide,N
wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\167_Exp-VirtualTrad\User Guide VirtualTradePad 2021 English.pdf,2975,ea-manual,PDF-1.4 2 0 obj Length 3 0 R/Filter/FlateDecode stream 1I( G({LW endstream endobj 3,N
wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\167_Exp-VirtualTrad\User Guide VirtualTradePad 2021 Русский.pdf,3082,ea-manual,PDF-1.4 2 0 obj Length 3 0 R/Filter/FlateDecode stream 5y8YXq endstream endobj 3 0,N
wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Copiers\Copiers\TradesCopierEA\_MT4iPersonalTradeCopier\MT4i Personal Trade Copier.pdf,108,ea-manual,PDF-1.5 1031 0 obj Linearized 1/L 110897/O 1033/E 14462/N 18/T 110352/H [ 606 371],N
wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\ForexCracked.comMasterScalper_PRO\Master Scalper FTMO\MasterScalperPRO v2.6 Manual.pdf,107,ea-manual,Scalping strategy or EA guide,N
wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\VOLUME PRO X ADVANCE SYSTEM - Forexeadownload.com\VOLUME PRO X ADVANCE SYSTEM - Forexeadownload.com\VOLUME PRO X Settings.pdf,166,course,PDF-1.5 2 0 obj Length 3 0 R/Filter/FlateDecode stream CYQJ;8 SpiPL;p endstream endobj 3,N
