account,magic,identity_mechanism_capability,identity_certification_scope,evidence_ref,status
69424711,2,NO_NATIVE_RUNTIME_IDENTITY_MT4,UNKNOWN,DEPLOYMENTS.csv platform=MT4,TRANSCRIBED
69424711,5888,NO_NATIVE_RUNTIME_IDENTITY_MT4,UNKNOWN,DEPLOYMENTS.csv platform=MT4,TRANSCRIBED
69424711,990,NO_NATIVE_RUNTIME_IDENTITY_MT4,UNKNOWN,DEPLOYMENTS.csv platform=MT4,TRANSCRIBED
463666728,990301,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
463666728,990302,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
463666728,991003,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
463666728,991005,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
463666728,999094,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
463666728,991070,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
463666728,990066,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
463666728,990067,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
463666728,990069,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
463666728,990068,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
463666728,990020,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
415573666,990110,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
415573666,990208,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
463666728,990303,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
463666728,990984,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
463666728,990120,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
415573666,990025,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
415573666,990030,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
415573666,992004,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
415573666,992001,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
415573666,992003,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
463666728,992017,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
463666728,990103,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
463666728,990016,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
463666728,990026,UNKNOWN,UNKNOWN,no explicit certification-scope statement in DEPLOYMENTS.csv notes,TRANSCRIBED
