"id","port_number","ea_token","bt_time","time_frame","symbols","platform","days","bal_start","bal_end","profit_percent","profit_factor","expected_payoff","max_dd","trades","profit_trades","loss_trades","new_total_ai","new_a_val","new_b_val","new_c_val","new_d_val","new_e_val","total_ai","equity_dd_percent","balance_dd_percent"
"773573","100007578","KXR4036","2026-07-10T08:10:33","15","GBF.USGOLD","MT5","313","1000000","2399649.61","162.1","1.12","963.05","0.19985","1674","671","1003","94.3396492168918","19.2709003246283","19.685534591195","15.3832143010685","20","20","0.21891","16.6","20.14"
"748587","914814","BVG6419","2026-04-11T12:23:55","60","XAUUSD.tp","MT5","313","10000","27584.8","175.85","1.69","56.05","0.2373","311","143","168","94.3304804514562","20","19.685534591195","14.6449458602612","20","20","0.22767","23.73","19.98"
"405676","200392475","ESC1335","2025-06-15T19:48:36","60","EURUSDm","MT5","450","1000","2632.8","182.5","25.98","63.96","0.2656","29","22","7","94.1106520231017","20","20","14.1106520231017","20","20","0.24196","16.88","2.22"
"750506","415630425","BAO3520","2026-05-07T17:27:04","60","BTCUSDm2Y","MT5","492","25000","69412.73","174.48","1.58","82.91","0.2712","517","293","224","94.0072590984755","20","20","14.0072590984755","20","20","0.23648","27.12","22.27"
"554858","95181184","AZM5684","2025-09-11T16:23:41","60","USDCHF","MT5","263","10000","29295.07","189.39","3.63","45.19","0.10731","433","286","147","93.9119502752793","20","16.5408805031447","17.3710697721346","20","20","0.25303","10.73","2.55"
"527374","95181184","LBJ2485","2025-08-12T13:54:56","60","CADCHF","MT5","263","100000","279415.43","179.42","5.39","553.75","0.1156","324","198","126","93.7238582168667","20","16.5408805031447","17.182977713722","20","20","0.24368","11.56","1.48"
"764556","415630425","QLN5423","2026-06-07T11:57:02","60","XAUUSDm5y7jun69","MT5","370","40000","286104.78","615.26","1.14","62.34","0.2871","3941","2037","1904","93.7178082334434","20","20","13.7178082334434","20","20","0.58361","18.89","17.64"
"770593","100007578","PFM7081","2026-07-03T17:52:26","15","GBF.USGOLD","MT5","313","1000000","2578473.46","178.54","1.35","2627.19","0.29549","652","194","458","93.2530258391396","20","19.685534591195","13.5674912479446","20","20","0.22059","29.55","26.35"
"525422","95181184","BWM9700","2025-08-12T11:37:47","60","CADCHF","MT5","263","100000","289580.34","189.58","5.57","615.52","0.1409","308","179","129","93.1623250289678","20","16.5408805031447","16.6214445258231","20","20","0.24917","14.09","1.99"
"683604","95181184","LKQ5197","2025-11-29T16:56:46","60","EURUSD","MT5","263","10000","33478.57","219.1","5.26","18.88","0.14236","1145","1066","79","93.1304862157797","20","16.5408805031447","16.5896057126351","20","20","0.27283","14.24","6.4"
"232439","2003394","TJG8941","2025-04-08T17:19:47","60","CCET","MT5","247","1000000","3568064.68","256.81","54.45","109005","0.17737","24","24","0","92.4733500551759","25","11.6509433962264","15.8441294831368","19.9782771758127","20","0.30447","14.38","0.15"
"747588","914814","CRC4394","2026-04-09T17:05:55","15","XAUUSD.tp","MT5","313","10000","49102.51","396.06","1.38","50.41","0.34446","741","361","380","92.3761532816227","20","19.685534591195","12.7224244204811","20","19.9681942699466","0.38517","26.36","24.27"
"239545","2003394","IBQ0285","2025-04-09T10:36:21","60","CCET","MT5","247","1000000","15065.39","239.64","58.33","162078","0.16601","16","16","0","92.1822323541917","24.4544704535498","11.6509433962264","16.0822743153603","19.9945441890552","20","0.29162","16.6","0.15"
"20124","5029898263","VIY3893","2024-12-19T16:04:44","60","EURUSD","MT5","263","10000","38622.73","286.23","2.19","55.69","0.20593","514","316","198","92.1615233061005","25","12.4056603773585","15.2608740491731","19.4949888795689","20","0.31872","16.2","17.48"
"163008","2003394","CWE2622","2025-04-01T10:39:20","60","CCET","MT5","247","1000000","55586.98","251.41","540.23","891650","0.19202","3","3","0","91.993156770812","25","11.6509433962264","15.5422133745856","19.8","20","0.29783","19.2","0.14"
"203172","2003394","YLP0504","2025-04-05T10:32:20","60","CCET","MT5","247","1000000","3923.82","238.91","24.04","42361.5","0.16997","60","59","1","91.9671081626196","24.4115465804323","11.6509433962264","15.9988553167028","19.9057628692581","20","0.29053","17","0.24"
"252362","2003394","SWU4503","2025-04-11T09:10:55","60","CCET","MT5","247","1000000","4939.99","262.27","591.03","930157","0.20444","3","3","0","91.9417084852675","25","11.6509433962264","15.290765089041","20","20","0.3045","19.47","0.15"
"589629","95181184","BHS3179","2025-09-27T13:20:19","60","NVDA","MT5","254","10000","32061.32","213.08","1524.63","26.62","0.17723","831","827","4","91.8218854918668","20","15.9748427672956","15.8470427245712","20","20","0.26346","17.72","0.05"
"524842","95181184","BTD0402","2025-08-12T10:32:59","60","EURCAD","MT5","263","100000","295145.74","195.15","3.82","661.51","0.20606","295","159","136","91.7991491238406","20","16.5408805031447","15.2582686206959","20","20","0.24512","20.44","3.8"
"672864","95181184","OCP9719","2025-11-25T14:17:14","60","EURUSD","MT5","263","10000","26879.99","168.25","4.72","44","0.19434","400","218","182","91.7705501752086","19.7347378697983","16.5408805031447","15.4949318022656","20","20","0.22302","19.24","3.4"
"673042","95181184","WMY1768","2025-11-25T14:33:51","60","EURUSD","MT5","263","10000","28659.53","185.89","5.19","47.57","0.21183","408","209","199","91.6839662836505","20","16.5408805031447","15.1430857805059","20","20","0.2354","17.71","3.42"
"18748","57168727","FJJ2346","2024-11-06T00:45:02","60","EURUSD","MT4","741","10000","33068.96","227.61","10.33","203.29","0.32711","112","72","40","91.6803735882017","23.7330371821573","15","13.0156340326749","19.9317023733695","20","0.27333","32.71","2.86"
"663161","95181184","EBQ5398","2025-11-22T10:12:57","60","EURUSD","MT5","263","10000","26934.54","167.34","4.7","40.28","0.20086","436","276","160","91.5704936035184","19.666789495344","16.5408805031447","15.3628236050297","20","20","0.22149","20.1","4.71"
"663395","95181184","PIV6093","2025-11-22T10:47:51","60","EURUSD","MT5","263","10000","26934.54","167.34","4.7","40.28","0.20086","436","276","160","91.5704936035184","19.666789495344","16.5408805031447","15.3628236050297","20","20","0.22149","20.1","4.71"
"667513","95181184","IIR4535","2025-11-23T13:40:12","60","EURUSD","MT5","263","10000","32633.98","221.19","4.39","68.53","0.21883","345","229","116","91.5453963579716","20","16.5408805031447","15.0045158548269","20","20","0.26347","14.66","3.41"
"20776","5029897359","HBW3915","2024-12-28T12:14:57","60","EURUSD","MT5","263","10000","59404.73","493.68","2.92","145.17","0.24887","340","205","135","91.5286534816385","25","12.4056603773585","14.4241060335352","19.6988870707448","20","0.47817","19.58","10.96"
"673844","95181184","BSY6735","2025-11-25T16:29:08","60","EURUSD","MT5","263","10000","28483.9","180.93","6.56","26.79","0.22691","700","579","121","91.3870230522466","20","16.5408805031447","14.8461425491019","20","20","0.2294","22.69","3.05"
"550509","95181184","YQO4745","2025-09-10T11:38:48","60","GBPUSD","MT5","263","10000","34709.75","247.1","3.93","50.12","0.23144","493","356","137","91.2989644680385","20","16.5408805031447","14.7580839648938","20","20","0.28376","19.93","6.06"
"606013","95181184","SKX5744","2025-10-21T11:12:15","60","XAUUSD","MT5","261","10000","42669.66","326.7","6.55","544.49","0.22655","60","43","17","91.268257365907","20","16.4150943396226","14.8531630262844","20","20","0.34904","20.49","4.13"
"235291","2003394","YCK0449","2025-04-09T09:00:19","60","CCET","MT5","247","1000000","2795.76","255.5","65.83","183794","0.23947","15","15","0","91.2487577954562","25","11.6509433962264","14.6032702101745","19.9945441890552","20","0.29313","21.12","0.15"
"673426","95181184","NWH2084","2025-11-25T15:25:55","60","EURUSD","MT5","263","10000","27008.78","169.89","4.29","48.63","0.22934","364","194","170","91.1966659750201","19.8569449351225","16.5408805031447","14.798840536753","20","20","0.22008","19.41","5.43"
"593711","95181184","PET7903","2025-10-07T10:58:52","60","US30","MT5","261","10000","28504.28","185.04","3.4","176.23","0.23095","105","69","36","91.1826780623957","20","16.4150943396226","14.7675837227731","20","20","0.23276","16.72","14.28"
"662202","95181184","UNA9675","2025-11-21T14:48:37","60","EURUSD","MT5","263","10000","25414.02","152.13","4.82","36.03","0.16487","442","278","164","91.1428778813465","18.4956276810636","16.5408805031447","16.1063696971383","20","20","0.21305","16.5","3.91"
"672357","95181184","NND0749","2025-11-25T12:00:45","60","EURUSD","MT5","263","10000","33936.69","236.65","3.47","55.41","0.24798","450","232","218","90.9818553612755","20","16.5408805031447","14.4409748581309","20","20","0.27168","24.89","6.8"
"509221","95181184","LIP3391","2025-08-07T11:24:37","60","USDJPY","MT5","263","100000","351460.83","251.45","3.53","103.71","0.25413","2425","980","1445","90.8656915667993","20","16.5408805031447","14.3248110636546","20","20","0.28426","14.61","19.8"
"189489","2003394","VXZ2550","2025-04-03T11:28:57","60","CCET","MT5","247","1000000","1910287.04","280.46","56.63","120671","0.25754","24","23","1","90.764441641563","25","11.6509433962264","14.2608051408459","19.8526931044907","20","0.31082","18.81","0.15"
"20123","86399320","JSN4768","2024-12-19T15:58:16","60","GBPUSD","MT5","242","10000","37065.88","270.66","2.95","58.63","0.23046","468","317","151","90.6871728148246","25","11.4150943396226","14.7770895956331","19.4949888795689","20","0.30141","20.51","6.85"
"655102","95181184","VED7323","2025-11-18T15:03:31","60","EURUSD","MT5","263","10000","28944.93","186.46","2.9","48.32","0.2664","406","249","157","90.6367152774111","20","16.5408805031447","14.0958347742665","20","20","0.22885","15.83","7"
"515411","95181184","YVX0669","2025-08-08T11:17:15","60","EURJPY","MT5","262","100000","273917.9","173.91","3.65","248.78","0.26978","699","310","389","90.5113919089805","20","16.4779874213836","14.0334044875969","20","20","0.21958","26.02","18.31"
"749180","463257135","VMU7648","2026-04-25T20:45:51","5","XAUUSDm0104202512042026","MT5","279","25000","83594.28","256.58","2.53","253.04","0.3406","250","125","125","90.3342503047334","20","17.5471698113208","12.7870804934126","20","20","0.27918","19.64","15.27"
"554720","95181184","SQU1136","2025-09-11T14:11:01","60","USDJPY","MT5","263","10000","29674.58","196.75","3.13","45.3","0.2873","436","308","128","90.255086134344","20","16.5408805031447","13.7142056311994","20","20","0.23505","26.97","5.59"
"20002","86399320","ESQ1004","2024-12-17T15:51:53","60","GBPUSD","MT5","242","10000","35177.7","251.78","2.89","57.25","0.25374","446","297","149","90.2008629092002","25","11.4150943396226","14.3321495826216","19.453618986956","20","0.28237","20.21","6.86"
"233137","2003394","KEA3667","2025-04-09T08:10:34","60","CCET","MT5","247","1000000","3285049.31","228.5","106.56","192225","0.23126","12","12","0","90.1946936608054","23.7876332495681","11.6509433962264","14.7615728259557","19.9945441890552","20","0.27212","17.8","0.15"
"254552","2003394","RFK4586","2025-04-11T10:23:40","60","CCET","MT5","247","1000000","17480.22","261.5","76.81","234479","0.29973","12","12","0","90.1430975698193","25","11.6509433962264","13.4921541735929","20","20","0.28799","16.98","0.15"
"655285","95181184","WHR4368","2025-11-18T15:33:06","60","EURUSD","MT5","263","10000","24229.02","139.07","3.61","41.42","0.16284","359","233","126","90.1216604676489","17.4314146666254","16.5408805031447","16.1493652978788","20","20","0.20225","16.28","3.26"
"204435","2003394","CAV4758","2025-04-05T11:01:50","60","CCET","MT5","247","1000000","21806.67","290.88","83.81","260102","0.29816","12","12","0","90.0767078285313","25","11.6509433962264","13.5200015630467","19.9057628692581","20","0.31194","26.17","0.15"
"176609","2003394","CFB4800","2025-04-02T11:44:39","60","CCET","MT5","247","1000000","108068.11","254.93","2025.36","2705660","0.29442","1","1","0","90.0637302261454","25","11.6509433962264","13.5865694234177","19.8262174065013","20","0.28398","18.93","0.13"
"160357","2003394","KWB2112","2025-04-01T09:19:29","60","CCET","MT5","247","1000000","108268.4","255.14","2027.46","2707880","0.2944","1","1","0","90.0378696316164","25","11.6509433962264","13.5869262353899","19.8","20","0.2842","18.93","0.13"
"658223","95181184","VDA3366","2025-11-19T14:42:49","60","EURUSD","MT5","263","10000","45227.06","345.89","6.03","81.47","0.30094","449","373","76","90.0116119673716","20","16.5408805031447","13.470731464227","20","20","0.34925","30.09","8.36"
"190041","2003394","HYB9391","2025-04-03T12:52:45","60","CCET","MT5","247","1000000","79659.56","249.48","1922.51","2650070","0.29926","1","1","0","90.0041212679561","25","11.6509433962264","13.500484767239","19.8526931044907","20","0.27881","19.07","0.14"
"159225","2003394","LWN3970","2025-04-01T08:47:40","60","CCET","MT5","247","1000000","98531.82","273.85","2150.74","2903890","0.297","1","1","0","89.9915567284505","25","11.6509433962264","13.5406133322241","19.8","20","0.29873","19","0.14"
"174703","2003394","UBE7829","2025-04-02T10:57:39","60","CCET","MT5","247","1000000","81203.87","256.49","1978.89","2723210","0.29927","1","1","0","89.9774680336653","25","11.6509433962264","13.5003072309376","19.8262174065013","20","0.28444","19.07","0.14"
"177888","2003394","IZL6614","2025-04-02T12:59:22","60","CCET","MT5","247","1000000","80390.65","259.4","1999.25","2753660","0.29953","1","1","0","89.9728592475829","25","11.6509433962264","13.4956984448551","19.8262174065013","20","0.28672","19.08","0.14"
"665893","95181184","RFH0134","2025-11-22T16:13:43","60","EURUSD","MT5","263","10000","27714.96","177.15","4.83","39.02","0.30424","454","346","108","89.9533596482832","20","16.5408805031447","13.4124791451386","20","20","0.21664","17.09","5.48"
"160496","2003394","VIM5025","2025-04-01T09:21:50","60","CCET","MT5","247","1000000","80695.11","265.8","2048.48","2820530","0.29972","1","1","0","89.9432749989036","25","11.6509433962264","13.4923316026772","19.8","20","0.29183","19.08","0.14"
"255871","2003394","HZB5452","2025-04-11T11:35:56","60","CCET","MT5","247","1000000","17139.95","284.63","2051.75","3020280","0.31119","1","1","0","89.9415611871563","25","11.6509433962264","13.2906177909299","20","20","0.3044","19.42","0.15"
"256979","2003394","JIW4029","2025-04-11T13:12:50","60","CCET","MT5","247","1000000","16739.28","298.96","2152.58","3170140","0.31136","1","1","0","89.9385944600985","25","11.6509433962264","13.2876510638721","20","20","0.31572","19.42","0.15"
"251944","2003394","SPS7361","2025-04-11T08:52:37","60","CCET","MT5","247","1000000","10373.71","268.41","1923.48","2851160","0.31228","1","1","0","89.9225500447218","25","11.6509433962264","13.2716066484954","20","20","0.29138","19.45","0.15"
"253346","2003394","JGP9298","2025-04-11T09:43:11","60","CCET","MT5","247","1000000","7918.03","280.04","2000.55","2972750","0.31277","1","1","0","89.9140123661772","25","11.6509433962264","13.2630689699508","20","20","0.30049","19.46","0.15"
"256379","2003394","BVU0025","2025-04-11T12:25:45","60","CCET","MT5","247","1000000","72390.69","281.08","2145.42","2980650","0.31333","1","1","0","89.9042621889669","25","11.6509433962264","13.2533187927404","20","20","0.30122","19.14","0.14"
"688138","206065934","DBA7839","2025-12-02T19:02:48","30","EURUSDm010824110825","MT5","320","25000","69052.3","176.21","3.56","53.66","0.53533","821","568","253","89.9016746322292","20","20","9.90167463222919","20","20","0.19064","53.53","3.54"
"174373","2003394","WHD4256","2025-04-02T10:49:40","60","CCET","MT5","247","1000000","52524.9","258.64","1935.75","2747020","0.3045","1","1","0","89.8850606201071","25","11.6509433962264","13.4078998173794","19.8262174065013","20","0.2853","19.22","0.14"
"233766","2003394","BNI6943","2025-04-09T08:20:14","60","CCET","MT5","247","1000000","3283321.97","228.33","94.52","256415","0.2484","9","9","0","89.8556134661618","23.7771141119239","11.6509433962264","14.4330117689563","19.9945441890552","20","0.26938","17.71","0.15"
"190539","2003394","VAS8129","2025-04-03T16:12:10","60","CCET","MT5","247","1000000","90884.36","261.8","2040.38","2778260","0.30781","1","1","0","89.853380149484","25","11.6509433962264","13.3497436487669","19.8526931044907","20","0.28722","19.03","0.14"
"200644","2003394","ELC3230","2025-04-05T09:13:58","60","CCET","MT5","247","1000000","18828.52","313.36","2259.63","3320480","0.31112","1","1","0","89.8485459954316","25","11.6509433962264","13.2918397299471","19.9057628692581","20","0.32743","19.41","0.15"
"200047","2003394","RDY1713","2025-04-05T08:39:53","60","CCET","MT5","247","1000000","16172.42","260.69","1879.92","2770220","0.31117","1","1","0","89.8476730960726","25","11.6509433962264","13.290966830588","19.9057628692581","20","0.2857","19.42","0.15"
"207951","2003394","CIC7486","2025-04-05T14:44:58","60","CCET","MT5","247","1000000","16739.28","298.96","2152.58","3170140","0.31136","1","1","0","89.8443573293567","25","11.6509433962264","13.2876510638721","19.9057628692581","20","0.31598","19.42","0.15"
"655632","95181184","CCN6903","2025-11-18T16:48:55","60","EURUSD","MT5","263","10000","27813.18","178.13","2.57","66.22","0.31064","269","164","105","89.8411015268373","20","16.5408805031447","13.3002210236927","20","20","0.21665","25.01","8.71"
"207403","2003394","XCN8581","2025-04-05T13:26:17","60","CCET","MT5","247","1000000","13087.89","301.01","2159.32","3191710","0.31198","1","1","0","89.8335425006107","25","11.6509433962264","13.2768362351261","19.9057628692581","20","0.31749","19.44","0.15"
"205244","2003394","TNS3311","2025-04-05T11:19:26","60","CCET","MT5","247","1000000","10295.66","257.98","1849.89","2742160","0.31224","1","1","0","89.8290100039043","25","11.6509433962264","13.2723037384197","19.9057628692581","20","0.28338","19.45","0.15"
"200697","2003394","IZZ0969","2025-04-05T09:13:59","60","CCET","MT5","247","1000000","6828.46","280.51","2001.77","2977710","0.31296","1","1","0","89.816466428544","25","11.6509433962264","13.2597601630594","19.9057628692581","20","0.30109","19.47","0.15"
"193366","2003394","FVB1993","2025-04-04T09:19:22","60","CCET","MT5","247","1000000","11481.44","267.56","1919.67","2842180","0.31207","1","1","0","89.8054982034283","25","11.6509433962264","13.275267038888","19.8792877683139","20","0.29103","19.44","0.15"
"749308","415630425","KKA0637","2026-04-29T09:57:55","60","EURUSDm010425270426","MT5","331","25000","67845.32","171.98","2.21","253.3","0.54345","169","89","80","89.7966472738396","20","20","9.79664727383964","20","20","0.1972","44.67","20.7"
"173637","2003394","HBJ8417","2025-04-02T10:24:29","60","CCET","MT5","247","1000000","71392.27","281.85","30.21","135788","0.31194","22","21","1","89.7546944024617","25","11.6509433962264","13.2775335997339","19.8262174065013","20","0.30246","13.33","1.14"
"673352","95181184","GNA1216","2025-11-25T15:12:04","60","EURUSD","MT5","263","10000","25712.78","163.57","4.8","91.01","0.2819","181","98","83","89.7358609954952","19.3831733173158","16.5408805031447","13.8118071750347","20","20","0.20866","28.19","6.54"
"20196","86399320","AGD5200","2024-12-20T15:38:31","60","GBPUSD","MT5","242","10000","130593.93","1205.94","99.76","242.16","0.28242","498","486","12","89.733636708657","25","11.4150943396226","13.8023779902723","19.516164378762","20","1.03125","24.1","2.84"
"126140","2003394","CHO7786","2025-03-25T15:50:12","60","CCET","MT5","247","1000000","43630.84","248.39","67.73","121747","0.3006","22","22","0","89.717903821575","24.9627936081485","11.6509433962264","13.4767478698396","19.6274189473606","20","0.27811","22.7","0.15"
"215274","2003394","YFB3301","2025-04-08T08:59:53","60","CCET","MT5","247","1000000","2487.98","252.76","1799.16","2687980","0.32586","1","1","0","89.6662382979018","25","11.6509433962264","13.0370177258627","19.9782771758127","20","0.27694","19.49","0.15"
"126949","2003373","LJM5943","2025-03-25T16:38:12","60","CCET","MT5","247","100000","4649.2","263.63","1960.42","279948","0.30571","1","1","0","89.664973753765","25","11.6509433962264","13.3866114101781","19.6274189473606","20","0.28938","19.26","0.14"
"126379","2003373","PPQ8420","2025-03-25T16:00:29","60","CCET","MT5","247","100000","4649.2","263.63","1960.42","279948","0.30571","1","1","0","89.664973753765","25","11.6509433962264","13.3866114101781","19.6274189473606","20","0.28943","19.26","0.14"
"117989","2003373","ZRL5578","2025-03-24T16:15:38","60","CCET","MT5","247","100000","4649.2","263.63","1960.42","279948","0.30571","1","1","0","89.6419659540732","25","11.6509433962264","13.3866114101781","19.6044111476687","20","0.28948","19.26","0.14"
"114854","2003373","YYO0532","2025-03-24T13:28:34","60","CCET","MT5","247","100000","4649.2","263.63","1960.42","279948","0.30571","1","1","0","89.6419659540732","25","11.6509433962264","13.3866114101781","19.6044111476687","20","0.28948","19.26","0.14"
"145692","2003373","OJF0900","2025-03-28T10:53:23","60","CCET","MT5","247","100000","1526.46","251.82","1814.79","267754","0.31126","1","1","0","89.6392264312186","25","11.6509433962264","13.2893959642474","19.6988870707448","20","0.279","19.42","0.15"
"255245","2003394","KGP8728","2025-04-11T11:08:21","60","CCET","MT5","247","1000000","11206.91","340.49","2433.56","3604320","0.32881","1","1","0","89.6375516177804","25","11.6509433962264","12.9866082215539","20","20","0.34507","19.45","0.15"
"254030","2003394","ZND1895","2025-04-11T10:00:10","60","CCET","MT5","247","1000000","22991.2","272.18","7.2","43112.1","0.32918","67","64","3","89.6312429401185","25","11.6509433962264","12.9802995438921","20","20","0.2915","19.46","7.89"
"138347","2003373","GZB5567","2025-03-27T11:24:31","60","CCET","MT5","247","100000","1538.52","288.5","2075.46","306088","0.31152","1","1","0","89.6104508895526","25","11.6509433962264","13.284859179853","19.6746483134732","20","0.3081","19.43","0.15"
"138120","2003373","LCR2749","2025-03-27T11:03:27","60","CCET","MT5","247","100000","1538.52","288.5","2075.46","306088","0.31152","1","1","0","89.6104508895526","25","11.6509433962264","13.284859179853","19.6746483134732","20","0.3081","19.43","0.15"
"175843","2003373","AKH5009","2025-04-02T11:29:07","60","CCET","MT5","247","100000","4086.34","260.17","1923.72","276361","0.3204","1","1","0","89.6079951233444","25","11.6509433962264","13.1308343206167","19.8262174065013","20","0.2839","19.29","0.14"
"96765","2003373","NUQ8496","2025-03-21T10:45:08","60","CCET","MT5","247","100000","4873.51","261.92","1952.11","278155","0.30526","1","1","0","89.583150298536","25","11.6509433962264","13.3945245447955","19.5376823575141","20","0.28834","19.25","0.14"
"95978","2003373","WYJ5387","2025-03-21T09:51:56","60","CCET","MT5","247","100000","4873.51","261.92","1952.11","278155","0.30526","1","1","0","89.583150298536","25","11.6509433962264","13.3945245447955","19.5376823575141","20","0.28834","19.25","0.14"
"101331","2003373","VWU8125","2025-03-21T16:09:15","60","CCET","MT5","247","100000","4873.51","261.92","1952.11","278155","0.30526","1","1","0","89.583150298536","25","11.6509433962264","13.3945245447955","19.5376823575141","20","0.28834","19.25","0.14"
"91695","2003373","UJP7121","2025-03-20T15:27:33","60","CCET","MT5","247","100000","4873.51","261.92","1952.11","278155","0.30526","1","1","0","89.561632319784","25","11.6509433962264","13.3945245447955","19.516164378762","20","0.28839","19.25","0.14"
"91072","2003373","ZJI0258","2025-03-20T14:41:08","60","CCET","MT5","247","100000","4873.51","261.92","1952.11","278155","0.30526","1","1","0","89.561632319784","25","11.6509433962264","13.3945245447955","19.516164378762","20","0.28839","19.25","0.14"
"240306","2003394","CNE3793","2025-04-09T12:35:29","60","CCET","MT5","247","1000000","67314.91","251.82","37.64","88601.1","0.33312","31","31","0","89.5587974948382","25","11.6509433962264","12.9133099095565","19.9945441890552","20","0.27499","21.11","0.29"
"206605","2003394","GST8947","2025-04-05T11:58:09","60","CCET","MT5","247","1000000","11206.91","340.49","2433.56","3604320","0.32881","1","1","0","89.5433144870385","25","11.6509433962264","12.9866082215539","19.9057628692581","20","0.34536","19.45","0.15"
"158471","2003394","GDZ1277","2025-04-01T08:16:07","60","CCET","MT5","247","1000000","69362.26","263.21","18.33","54758.6","0.32303","51","50","1","89.5365037244846","25","11.6509433962264","13.0855603282582","19.8","20","0.2859","16.93","2.57"
"110395","2003373","EQV8176","2025-03-22T15:38:59","60","CCET","MT5","247","100000","1953.13","290.85","2100.63","308519","0.31083","1","1","0","89.5074011011946","25","11.6509433962264","13.296902948285","19.5595547566831","20","0.31033","19.41","0.15"
"670320","95181184","PWE8235","2025-11-24T13:35:24","60","EURUSD","MT5","263","10000","37124.6","216.6","4.05","22.71","0.33106","922","894","28","89.4891722677912","20","16.5408805031447","12.9482917646465","20","20","0.24365","23.72","17.2"
"81218","2003373","TEX8998","2025-03-19T11:57:13","60","CCET","MT5","247","100000","11255.08","244.18","1950.91","259315","0.29301","1","1","0","89.4775798324293","24.7198964557032","11.6509433962264","13.6117511009307","19.4949888795689","20","0.27624","18.88","0.13"
"173449","2003394","KXL6773","2025-04-02T10:22:01","60","CCET","MT5","247","1000000","7910.1","347.1","2472.33","3673640","0.32956","1","1","0","89.4509841208535","25","11.6509433962264","12.9738233181258","19.8262174065013","20","0.35055","19.47","0.15"
"568773","95181184","ACD9968","2025-09-17T16:16:09","60","TSLA","MT5","254","10000","28143.78","147.37","5.16","457.09","0.2013","32","31","1","89.443302047598","18.1145103203589","15.9748427672956","15.3539489599435","20","20","0.20555","12.93","12.5"
"84600","2003373","CAX4898","2025-03-19T16:18:47","60","CCET","MT5","247","100000","1842.98","278.19","2008.56","295299","0.31091","1","1","0","89.4414384969056","25","11.6509433962264","13.2955062211102","19.4949888795689","20","0.30043","19.41","0.15"
"140810","2003394","DFN6058","2025-03-27T15:13:55","60","CCET","MT5","247","1000000","1616.73","274.97","1952.87","2920070","0.32612","1","1","0","89.3581588090081","25","11.6509433962264","13.0325670993085","19.6746483134732","20","0.29486","19.49","0.15"
"190206","2003394","FCJ2740","2025-04-03T13:33:11","60","CCET","MT5","247","1000000","41868.95","239.91","1778.21","2551820","0.30601","1","1","0","89.3552116168292","24.4702370554123","11.6509433962264","13.3813380606998","19.8526931044907","20","0.27012","19.27","0.14"
