window,seed,shift_weeks,classification,causal_state_qualified,donor_availability_semantics,target_index,target_weekday,target_weekday_index,target_valid_from_utc,target_valid_to_utc,target_native_datetime,target_native_state,target_representation,target_transition_server_date,unknown_selected_until_resume,resume_native_datetime,donor_index,donor_weekday,donor_weekday_index,donor_valid_from_utc,donor_valid_to_utc,donor_macro_state,donor_macro_as_of_utc,donor_macro_source_date,donor_macro_ri,donor_macro_confidence,donor_macro_coverage,donor_macro_missing_inputs,donor_macro_partial,donor_macro_flags,wrapped_at_weekday_stratum_seam,displacement_days,displacement_weeks,weekday_mismatch,cross_window,holdout_contact
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,16,4,2,2020-01-17T00:00:00Z,2020-01-18T00:00:00Z,2020.01.17 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,240,4,34,2020-08-28T00:00:00Z,2020-08-29T00:00:00Z,NEUTRAL,2020-08-28T00:00:00Z,2020-08-27,0,MED,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,17,5,2,2020-01-18T00:00:00Z,2020-01-19T00:00:00Z,2020.01.18 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,241,5,34,2020-08-29T00:00:00Z,2020-08-30T00:00:00Z,NEUTRAL,2020-08-29T00:00:00Z,2020-08-28,0.192,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,18,6,2,2020-01-19T00:00:00Z,2020-01-20T00:00:00Z,2020.01.19 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,242,6,34,2020-08-30T00:00:00Z,2020-08-31T00:00:00Z,NEUTRAL,2020-08-30T00:00:00Z,2020-08-29,0.192,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,19,0,2,2020-01-20T00:00:00Z,2020-01-21T00:00:00Z,2020.01.20 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,243,0,34,2020-08-31T00:00:00Z,2020-09-01T00:00:00Z,NEUTRAL,2020-08-31T00:00:00Z,2020-08-30,0.231,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,20,1,2,2020-01-21T00:00:00Z,2020-01-22T00:00:00Z,2020.01.21 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,244,1,34,2020-09-01T00:00:00Z,2020-09-02T00:00:00Z,NEUTRAL,2020-09-01T00:00:00Z,2020-08-31,0.154,MED,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,21,2,3,2020-01-22T00:00:00Z,2020-01-23T00:00:00Z,2020.01.22 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,245,2,35,2020-09-02T00:00:00Z,2020-09-03T00:00:00Z,NEUTRAL,2020-09-02T00:00:00Z,2020-09-01,0.154,MED,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,22,3,3,2020-01-23T00:00:00Z,2020-01-24T00:00:00Z,2020.01.23 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,246,3,35,2020-09-03T00:00:00Z,2020-09-04T00:00:00Z,NEUTRAL,2020-09-03T00:00:00Z,2020-09-02,0.192,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,23,4,3,2020-01-24T00:00:00Z,2020-01-25T00:00:00Z,2020.01.24 02:00,STRESS,STABLE_MAPPED_ROW,,False,,247,4,35,2020-09-04T00:00:00Z,2020-09-05T00:00:00Z,STRESS,2020-09-04T00:00:00Z,2020-09-03,-0.269,MED,8/8,,false,VIX_STRESS,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,24,5,3,2020-01-25T00:00:00Z,2020-01-26T00:00:00Z,2020.01.25 02:00,STRESS,STABLE_MAPPED_ROW,,False,,248,5,35,2020-09-05T00:00:00Z,2020-09-06T00:00:00Z,STRESS,2020-09-05T00:00:00Z,2020-09-04,-0.231,MED,8/8,,false,VIX_STRESS,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,25,6,3,2020-01-26T00:00:00Z,2020-01-27T00:00:00Z,2020.01.26 02:00,STRESS,STABLE_MAPPED_ROW,,False,,249,6,35,2020-09-06T00:00:00Z,2020-09-07T00:00:00Z,STRESS,2020-09-06T00:00:00Z,2020-09-05,-0.231,MED,8/8,,false,VIX_STRESS,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,26,0,3,2020-01-27T00:00:00Z,2020-01-28T00:00:00Z,2020.01.27 02:00,STRESS,STABLE_MAPPED_ROW,,False,,250,0,35,2020-09-07T00:00:00Z,2020-09-08T00:00:00Z,STRESS,2020-09-07T00:00:00Z,2020-09-06,-0.231,MED,8/8,,false,VIX_STRESS,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,27,1,3,2020-01-28T00:00:00Z,2020-01-29T00:00:00Z,2020.01.28 02:00,STRESS,STABLE_MAPPED_ROW,,False,,251,1,35,2020-09-08T00:00:00Z,2020-09-09T00:00:00Z,STRESS,2020-09-08T00:00:00Z,2020-09-07,-0.231,MED,8/8,,false,VIX_STRESS,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,28,2,4,2020-01-29T00:00:00Z,2020-01-30T00:00:00Z,2020.01.29 02:00,STRESS,STABLE_MAPPED_ROW,,False,,252,2,36,2020-09-09T00:00:00Z,2020-09-10T00:00:00Z,STRESS,2020-09-09T00:00:00Z,2020-09-08,-0.115,LOW,8/8,,false,VIX_STRESS,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,29,3,4,2020-01-30T00:00:00Z,2020-01-31T00:00:00Z,2020.01.30 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,253,3,36,2020-09-10T00:00:00Z,2020-09-11T00:00:00Z,NEUTRAL,2020-09-10T00:00:00Z,2020-09-09,0.077,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,30,4,4,2020-01-31T00:00:00Z,2020-02-01T00:00:00Z,2020.01.31 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,254,4,36,2020-09-11T00:00:00Z,2020-09-12T00:00:00Z,NEUTRAL,2020-09-11T00:00:00Z,2020-09-10,0.115,MED,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,31,5,4,2020-02-01T00:00:00Z,2020-02-02T00:00:00Z,2020.02.01 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,255,5,36,2020-09-12T00:00:00Z,2020-09-13T00:00:00Z,NEUTRAL,2020-09-12T00:00:00Z,2020-09-11,0.231,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,32,6,4,2020-02-02T00:00:00Z,2020-02-03T00:00:00Z,2020.02.02 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,256,6,36,2020-09-13T00:00:00Z,2020-09-14T00:00:00Z,NEUTRAL,2020-09-13T00:00:00Z,2020-09-12,0.231,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,33,0,4,2020-02-03T00:00:00Z,2020-02-04T00:00:00Z,2020.02.03 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,257,0,36,2020-09-14T00:00:00Z,2020-09-15T00:00:00Z,NEUTRAL,2020-09-14T00:00:00Z,2020-09-13,0.115,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,34,1,4,2020-02-04T00:00:00Z,2020-02-05T00:00:00Z,2020.02.04 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,258,1,36,2020-09-15T00:00:00Z,2020-09-16T00:00:00Z,NEUTRAL,2020-09-15T00:00:00Z,2020-09-14,0.115,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,35,2,5,2020-02-05T00:00:00Z,2020-02-06T00:00:00Z,2020.02.05 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,259,2,37,2020-09-16T00:00:00Z,2020-09-17T00:00:00Z,NEUTRAL,2020-09-16T00:00:00Z,2020-09-15,0.231,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,36,3,5,2020-02-06T00:00:00Z,2020-02-07T00:00:00Z,2020.02.06 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,260,3,37,2020-09-17T00:00:00Z,2020-09-18T00:00:00Z,NEUTRAL,2020-09-17T00:00:00Z,2020-09-16,0.115,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,37,4,5,2020-02-07T00:00:00Z,2020-02-08T00:00:00Z,2020.02.07 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,261,4,37,2020-09-18T00:00:00Z,2020-09-19T00:00:00Z,NEUTRAL,2020-09-18T00:00:00Z,2020-09-17,-0.192,LOW,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,38,5,5,2020-02-08T00:00:00Z,2020-02-09T00:00:00Z,2020.02.08 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,262,5,37,2020-09-19T00:00:00Z,2020-09-20T00:00:00Z,NEUTRAL,2020-09-19T00:00:00Z,2020-09-18,-0.192,LOW,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,39,6,5,2020-02-09T00:00:00Z,2020-02-10T00:00:00Z,2020.02.09 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,263,6,37,2020-09-20T00:00:00Z,2020-09-21T00:00:00Z,NEUTRAL,2020-09-20T00:00:00Z,2020-09-19,-0.192,LOW,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,40,0,5,2020-02-10T00:00:00Z,2020-02-11T00:00:00Z,2020.02.10 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,264,0,37,2020-09-21T00:00:00Z,2020-09-22T00:00:00Z,NEUTRAL,2020-09-21T00:00:00Z,2020-09-20,-0.192,LOW,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,41,1,5,2020-02-11T00:00:00Z,2020-02-12T00:00:00Z,2020.02.11 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,265,1,37,2020-09-22T00:00:00Z,2020-09-23T00:00:00Z,NEUTRAL,2020-09-22T00:00:00Z,2020-09-21,-0.115,MED,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,42,2,6,2020-02-12T00:00:00Z,2020-02-13T00:00:00Z,2020.02.12 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,266,2,38,2020-09-23T00:00:00Z,2020-09-24T00:00:00Z,NEUTRAL,2020-09-23T00:00:00Z,2020-09-22,-0.115,MED,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,43,3,6,2020-02-13T00:00:00Z,2020-02-14T00:00:00Z,2020.02.13 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,267,3,38,2020-09-24T00:00:00Z,2020-09-25T00:00:00Z,NEUTRAL,2020-09-24T00:00:00Z,2020-09-23,-0.115,MED,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,44,4,6,2020-02-14T00:00:00Z,2020-02-15T00:00:00Z,2020.02.14 02:00,RISK_OFF,STABLE_MAPPED_ROW,,False,,268,4,38,2020-09-25T00:00:00Z,2020-09-26T00:00:00Z,RISK_OFF,2020-09-25T00:00:00Z,2020-09-24,-0.269,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,45,5,6,2020-02-15T00:00:00Z,2020-02-16T00:00:00Z,2020.02.15 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,269,5,38,2020-09-26T00:00:00Z,2020-09-27T00:00:00Z,NEUTRAL,2020-09-26T00:00:00Z,2020-09-25,-0.192,MED,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,46,6,6,2020-02-16T00:00:00Z,2020-02-17T00:00:00Z,2020.02.16 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,270,6,38,2020-09-27T00:00:00Z,2020-09-28T00:00:00Z,NEUTRAL,2020-09-27T00:00:00Z,2020-09-26,-0.154,MED,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,47,0,6,2020-02-17T00:00:00Z,2020-02-18T00:00:00Z,2020.02.17 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,271,0,38,2020-09-28T00:00:00Z,2020-09-29T00:00:00Z,NEUTRAL,2020-09-28T00:00:00Z,2020-09-27,-0.154,MED,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,48,1,6,2020-02-18T00:00:00Z,2020-02-19T00:00:00Z,2020.02.18 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,272,1,38,2020-09-29T00:00:00Z,2020-09-30T00:00:00Z,NEUTRAL,2020-09-29T00:00:00Z,2020-09-28,0.077,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,49,2,7,2020-02-19T00:00:00Z,2020-02-20T00:00:00Z,2020.02.19 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,273,2,39,2020-09-30T00:00:00Z,2020-10-01T00:00:00Z,NEUTRAL,2020-09-30T00:00:00Z,2020-09-29,0.192,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,50,3,7,2020-02-20T00:00:00Z,2020-02-21T00:00:00Z,2020.02.20 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,274,3,39,2020-10-01T00:00:00Z,2020-10-02T00:00:00Z,NEUTRAL,2020-10-01T00:00:00Z,2020-09-30,0.231,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,51,4,7,2020-02-21T00:00:00Z,2020-02-22T00:00:00Z,2020.02.21 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,275,4,39,2020-10-02T00:00:00Z,2020-10-03T00:00:00Z,NEUTRAL,2020-10-02T00:00:00Z,2020-10-01,0,MED,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,52,5,7,2020-02-22T00:00:00Z,2020-02-23T00:00:00Z,2020.02.22 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,276,5,39,2020-10-03T00:00:00Z,2020-10-04T00:00:00Z,NEUTRAL,2020-10-03T00:00:00Z,2020-10-02,0.192,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,53,6,7,2020-02-23T00:00:00Z,2020-02-24T00:00:00Z,2020.02.23 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,277,6,39,2020-10-04T00:00:00Z,2020-10-05T00:00:00Z,NEUTRAL,2020-10-04T00:00:00Z,2020-10-03,0.192,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,54,0,7,2020-02-24T00:00:00Z,2020-02-25T00:00:00Z,2020.02.24 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,278,0,39,2020-10-05T00:00:00Z,2020-10-06T00:00:00Z,NEUTRAL,2020-10-05T00:00:00Z,2020-10-04,0.192,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,55,1,7,2020-02-25T00:00:00Z,2020-02-26T00:00:00Z,2020.02.25 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,279,1,39,2020-10-06T00:00:00Z,2020-10-07T00:00:00Z,NEUTRAL,2020-10-06T00:00:00Z,2020-10-05,0.192,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,56,2,8,2020-02-26T00:00:00Z,2020-02-27T00:00:00Z,2020.02.26 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,280,2,40,2020-10-07T00:00:00Z,2020-10-08T00:00:00Z,NEUTRAL,2020-10-07T00:00:00Z,2020-10-06,0.038,HIGH,8/8,,false,,False,224,32,0,0,0
